episode,reward,avg10,epsilon,buffer,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss
0,4287.087677737068,4287.087677737068,0.999000499833375,1000,,,,,,,,,0.13641012635082006
1,3994.4578251415414,4140.772751439305,0.9980019986673331,2000,,,,,,,,,0.46705415613949297
2,3761.2261924161726,4014.257231764927,0.997004495503373,3000,,,,,,,,,0.8838669062778354
3,4196.739037256624,4059.8776831378514,0.9960079893439915,4000,,,,,,,,,1.4027242924273013
4,3882.066800190691,4024.3155065484193,0.9950124791926823,5000,,,,,,,,,2.050540606826544
5,4221.551287599959,4057.188136723676,0.9940179640539353,6000,,,,,,,,,2.3928082177788017
6,4362.631384086209,4100.822886346895,0.9930244429332351,7000,,,,,,,,,3.2943714985996486
7,3871.651075788082,4072.1764100270434,0.9920319148370607,8000,,,,,,,,,3.6059516800940035
8,3785.6999584149394,4040.3456931812543,0.9910403787728838,9000,,,,,,,,,4.247894883826375
9,4361.673356312165,4072.4784594943458,0.9900498337491682,10000,,,,,,,,,5.002357927039266
10,4272.598941890339,4071.0295859096723,0.9890602787753688,11000,,,,,,,,,6.834658983945847
11,4019.3571938888845,4073.5195227844065,0.9880717128619307,12000,,,,,,,,,7.233826252371073
12,3753.75911489189,4072.772815031978,0.9870841350202878,13000,,,,,,,,,7.6241363118588925
13,4143.053216296829,4067.404232935999,0.9860975442628621,14000,,,,,,,,,7.964226540923119
14,4708.917601241467,4150.089313041077,0.9851119396030629,15000,,,,,,,,,7.250755067765713
15,4282.802459629344,4156.214430244016,0.9841273200552854,16000,,,,,,,,,10.01371514648199
16,4295.275653784491,4149.478857213844,0.9831436846349099,17000,,,,,,,,,9.61676380828023
17,4346.326927821974,4196.946442417233,0.982161032358301,18000,,,,,,,,,9.070045777410268
18,3998.3144332548754,4218.207889901226,0.9811793622428063,19000,,,,,,,,,10.365960159301757
19,4363.707997305754,4218.411354000585,0.9801986733067557,20000,,,,,,,,,9.577930700182915
