episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action
0,9201.089695354818,9201.089695354818,0.99981,243,,,,,,,,
1,9183.418660875468,9192.254178115143,0.99962,243,,,,,,,,
2,9216.915738487476,9200.474698239253,0.99943,243,,,,,,,,
3,9209.810910263375,9202.808751245284,0.99924,243,,,,,,,,
4,9175.23953462464,9197.294907921156,0.99905,243,,,,,,,,
5,9209.900268163054,9199.395801294804,0.99886,243,,,,,,,,
6,9216.169803427707,9201.79208731379,0.99867,243,,,,,,,,
7,9236.690840500216,9206.154431462095,0.99848,243,,,,,,,,
8,9216.988408848101,9207.358206727207,0.99829,243,,,,,,,,
9,9147.99826482325,9201.422212536812,0.9981,243,,,,,,,,
10,9216.774535829554,9202.990696584286,0.99791,243,,,,,,,,
11,9116.432078698594,9196.292038366597,0.99772,243,,,,,,,,
12,9210.717566184994,9195.672221136349,0.99753,243,,,,,,,,
13,9216.605699965688,9196.35170010658,0.99734,243,,,,,,,,
14,9203.126859443306,9199.140432588447,0.99715,243,,,,,,,,
15,9236.472748615566,9201.7976806337,0.99696,243,,,,,,,,
16,9203.557625633886,9200.536462854314,0.99677,243,,,,,,,,
17,9190.264644158213,9195.893843220116,0.99658,243,,,,,,,,
18,9181.986463404073,9192.393648675712,0.99639,243,,,,,,,,
19,9223.714070076108,9199.965229201,0.9962,243,,,,,,,,
20,9175.971639352292,9195.884939553272,0.99601,243,,,,,,,,
21,9215.569528518414,9205.798684535255,0.99582,243,,,,,,,,
22,9187.37046529114,9203.46397444587,0.99563,243,,,,,,,,
23,9223.419259430213,9204.14533039232,0.99544,243,,,,,,,,
24,9209.593273767105,9204.791971824701,0.99525,243,,,,,,,,
25,9184.31954461227,9199.576651424371,0.9950600000000001,243,,,,,,,,
26,9166.36335439578,9195.85722430056,0.99487,243,,,,,,,,
27,9229.809836290831,9199.811743513823,0.99468,243,,,,,,,,
28,9176.566081410108,9199.269705314426,0.99449,243,,,,,,,,
29,9208.213684361448,9197.71966674296,0.9943,243,,,,,,,,
30,9196.907948295664,9199.813297637296,0.99411,243,,,,,,,,
31,9229.903189346736,9201.246663720129,0.99392,243,,,,,,,,
32,9169.477692453933,9199.457386436408,0.99373,243,,,,,,,,
33,9141.414813076022,9191.25694180099,0.99354,243,,,,,,,,
34,9183.545991712772,9188.652213595557,0.99335,243,,,,,,,,
35,9223.243936449662,9192.544652779296,0.99316,243,,,,,,,,
36,9209.6771088765,9196.876028227369,0.99297,243,,,,,,,,
37,9229.945640541267,9196.88960865241,0.99278,243,,,,,,,,
38,9210.70973952526,9200.303974463926,0.99259,243,,,,,,,,
39,9176.608130238152,9197.143419051597,0.9924,243,,,,,,,,
40,9195.352830046348,9196.987907226667,0.99221,243,,,,,,,,
41,9223.120319413354,9196.309620233327,0.99202,243,,,,,,,,
42,9189.632839649636,9198.325134952898,0.99183,243,,,,,,,,
43,9216.84900181495,9205.86855382679,0.99164,243,,,,,,,,
44,9124.581719804657,9199.97212663598,0.99145,243,,,,,,,,
45,9236.305671601125,9201.278300151123,0.99126,243,,,,,,,,
46,9136.239539843322,9193.934543247806,0.99107,243,,,,,,,,
47,9177.384312169788,9188.67841041066,0.99088,243,,,,,,,,
48,9174.560028338537,9185.063439291987,0.99069,243,,,,,,,,
49,9223.194006952433,9189.722026963416,0.9905,243,,,,,,,,
