episode,reward,avg10,epsilon,buffer,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss
0,4254.273337070593,4254.273337070593,0.999000499833375,1000,,,,,,,,,0.11658825006335974
1,4346.085951471167,4300.17964427088,0.9980019986673331,2000,,,,,,,,,0.32766142453998326
2,3707.724117846767,4102.694468796176,0.997004495503373,3000,,,,,,,,,0.7963902203924954
3,4591.526845966698,4224.902563088806,0.9960079893439915,4000,,,,,,,,,1.701139042675495
4,4382.819411156019,4256.485932702249,0.9950124791926823,5000,,,,,,,,,2.1735338449478148
5,4235.906120715879,4253.055964037853,0.9940179640539353,6000,,,,,,,,,2.7083718471229075
6,4053.9028365030604,4224.605517247169,0.9930244429332351,7000,,,,,,,,,3.4159900811314583
7,3904.389443207587,4184.578507992222,0.9920319148370607,8000,,,,,,,,,4.415640083104372
8,4091.04598675331,4174.186005632343,0.9910403787728838,9000,,,,,,,,,4.712199805825949
9,4040.5363606339424,4160.8210411325035,0.9900498337491682,10000,,,,,,,,,6.1020735305547715
10,4243.672879813073,4159.76099540675,0.9890602787753688,11000,,,,,,,,,6.636204085946083
11,4298.495050006591,4155.001905260293,0.9880717128619307,12000,,,,,,,,,7.212056881338358
12,3880.688991562786,4172.298392631894,0.9870841350202878,13000,,,,,,,,,8.46640725851059
13,4284.822065897538,4141.627914624979,0.9860975442628621,14000,,,,,,,,,8.96680781364441
14,3914.0727920537975,4094.753252714757,0.9851119396030629,15000,,,,,,,,,7.983683194071054
15,3938.517232511393,4065.014363894308,0.9841273200552854,16000,,,,,,,,,9.033658598586918
16,4140.583606222101,4073.682440866212,0.9831436846349099,17000,,,,,,,,,9.813740800619126
17,4171.06719150101,4100.350215695554,0.982161032358301,18000,,,,,,,,,9.834471530914307
18,3833.8406498998215,4074.6296820102057,0.9811793622428063,19000,,,,,,,,,10.800802014172078
19,4779.869334936451,4148.562979440457,0.9801986733067557,20000,,,,,,,,,11.04150824278593
