episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,dynamic_tsla,dynamic_min_popularity,replication_state
0,3581.9017852493594,3581.9017852493594,0.99981,1458,179,4.889778924151366,6,55.110221075848756,6.792929957277918,-0.06,-0.0,0.0,200.0,1.0,BALANCED
1,2190.443100843363,2886.172443046361,0.99962,1458,199,15.865711950589251,12,44.13428804941075,5.85878067831998,-0.12,-0.0,0.0,400.0,1.0,BALANCED
2,3483.116666282694,3085.1538507918053,0.99943,1458,182,4.909307858490917,6,55.09069214150906,6.774602230890685,-0.06,-0.0,0.0,200.0,1.0,BALANCED
3,2274.5354595140398,2882.499252972364,0.99924,1458,197,15.818494224327042,12,44.181505775673,5.689153366779861,-0.12,-0.0,0.0,400.0,1.0,BALANCED
4,3525.5667740756844,3011.112757193028,0.99905,1458,178,4.887360213688175,6,55.11263978631183,6.882378139880132,-0.06,-0.0,0.0,200.0,1.0,BALANCED
5,2237.7422971114124,2882.2176805127588,0.99886,1458,200,15.858203466536036,12,44.141796533463975,5.397029137464978,-0.12,-0.0,0.0,400.0,1.0,BALANCED
6,3453.4191683916047,2963.8178930668796,0.99867,1458,180,4.885702831934901,6,55.114297168065086,6.826464952137692,-0.06,-0.0,0.0,200.0,1.0,BALANCED
7,1965.3493162668683,2839.0093209668785,0.99848,1458,207,15.94701361383683,12,44.05298638616316,5.375826339779158,-0.12,-0.0,0.0,382.0,0.955,BALANCED
8,3526.364136384835,2915.3820782355406,0.99829,1458,179,4.886309187140747,6,55.11369081285921,6.914240860322169,-0.06,-0.0,0.0,200.0,1.0,BALANCED
9,2071.6913188748904,2831.0130022994754,0.9981,1458,185,15.653362856024385,12,44.34663714397574,5.758758897201224,-0.12,-0.0,0.0,390.0,0.975,BALANCED
10,3561.876872927744,2829.0105110673135,0.99791,1458,180,4.87923412135155,6,55.12076587864844,6.861913135186942,-0.06,-0.0,0.0,200.0,1.0,BALANCED
11,2122.1090399045984,2822.177104973437,0.99772,1458,195,15.798385129783613,12,44.20161487021633,5.562977500846968,-0.12,-0.0,0.0,398.0,0.995,BALANCED
12,3557.843253421769,2829.6497636873446,0.99753,1458,175,4.8839084767204755,6,55.11609152327954,6.949689043371774,-0.06,-0.0,0.0,200.0,1.0,BALANCED
13,2168.863299902321,2819.082547726173,0.99734,1458,198,15.81082437177804,12,44.189175628222074,5.893038383916116,-0.12,-0.0,0.0,400.0,1.0,BALANCED
14,3424.445315833195,2808.9704019019237,0.99715,1458,184,4.9066054108797825,6,55.09339458912019,6.951361317789512,-0.06,-0.0,0.0,200.0,1.0,BALANCED
15,2321.099521689253,2817.306124359708,0.99696,1458,199,15.875656644957898,12,44.12434335504211,5.62341107237552,-0.12,-0.0,0.0,400.0,1.0,BALANCED
16,3549.436036352964,2826.907811155844,0.99677,1458,179,4.878609766085627,6,55.12139023391433,6.774137225974286,-0.06,-0.0,0.0,200.0,1.0,BALANCED
17,2227.496887180447,2853.122568247202,0.99658,1458,198,15.841475887317115,12,44.15852411268296,5.304286842658305,-0.12,-0.0,0.0,400.0,1.0,BALANCED
18,3524.680427951633,2852.9541974038816,0.99639,1458,180,4.886258700429476,6,55.113741299570385,6.755809500615236,-0.06,-0.0,0.0,200.0,1.0,BALANCED
19,2214.0213244912866,2867.187197965521,0.9962,1458,198,15.863198161097808,12,44.13680183890215,5.634659531520063,-0.12,-0.0,0.0,400.0,1.0,BALANCED
20,3550.0230111984006,2866.001811792587,0.99601,1458,183,4.886901055678237,6,55.11309894432179,6.843585408800066,-0.06,-0.0,0.0,200.0,1.0,BALANCED
21,2126.4168975661896,2866.432597558746,0.99582,1458,204,15.951957403199554,12,44.04804259680062,5.315535301802847,-0.12,-0.0,0.0,400.0,1.0,BALANCED
22,3613.8044658777612,2872.028718804345,0.99563,1458,179,4.8847943060033465,6,55.11520569399668,6.848843145601503,-0.06,-0.0,0.0,200.0,1.0,BALANCED
23,2199.1913384306013,2875.0615226571736,0.99544,1458,200,15.860421803503051,12,44.13957819649688,5.7718956615862025,-0.12,-0.0,0.0,400.0,1.0,BALANCED
24,3428.381379446285,2875.455129018482,0.99525,1458,177,4.8917906612091935,6,55.108209338790786,7.005619054814513,-0.06,-0.0,0.0,200.0,1.0,BALANCED
25,1897.9753929176165,2833.1427161413185,0.9950600000000001,1458,208,16.04530104536872,12,43.954698954631176,5.266776368332177,-0.12,-0.0,0.0,382.0,0.955,BALANCED
26,3446.835468013469,2822.882659307369,0.99487,1458,176,4.894813595432885,6,55.105186404567206,6.953291328427591,-0.06,-0.0,0.0,200.0,1.0,BALANCED
27,2021.126290592365,2802.2455996485605,0.99468,1458,187,15.647623319085042,12,44.35237668091499,6.215532431106329,-0.12,-0.0,0.0,390.0,0.975,BALANCED
28,3538.9410007849724,2803.6716569318946,0.99449,1458,177,4.88416995066876,6,55.11583004933121,6.741067237416718,-0.06,-0.0,0.0,200.0,1.0,BALANCED
29,2203.393642762104,2802.6088887589767,0.9943,1458,190,15.725042560843452,12,44.27495743915654,5.468361699511087,-0.12,-0.0,0.0,398.0,0.995,BALANCED
