episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,dynamic_min_popularity
0,-2711.6361139684213,-2711.6361139684213,1000,0.06093749962747097,610,7.2882789241513635,6,52.71172107584872,0.0,-0.06,-1.4766283355200294,0.0,0.0,200.0,0.6000000000000001
1,-6092.288590506993,-4401.962352237708,2000,0.06017931178212166,886,23.785261950589252,7,36.21473804941073,0.0,-0.07,-7.969138032943075,0.0,1.9744971042871475,300.0,0.30000000000000004
2,-6451.568968270895,-5085.164557582103,3000,0.05805543251335621,848,8.43550785849092,2,51.56449214150912,0.0,-0.02,-3.7276227807751683,0.0,1.7763294035196304,190.0,0.5
3,-7296.68309160302,-5638.044191087332,4000,0.05607126373797655,818,20.376994224327042,9,39.62300577567289,0.0,-0.09,-13.96776125133551,0.0,1.3951742994785308,260.0,0.5
4,572.2373307787366,-4395.987886714119,5000,0.054565717466175556,85,3.9356102136881823,6,56.06438978631182,6.282378139880464,-0.06,-0.0,0.0,0.9123689693212509,200.0,1.0
5,-3686.609502920754,-4277.758156081892,6000,0.05337633937597275,539,20.549003466536032,12,39.450996533464014,1.2508969846459361,-0.12,-0.0,0.0,0.747203560769558,400.0,1.0
6,2166.4359768406275,-3357.1589942358173,7000,0.05239419173449278,232,5.274502831934904,6,54.72549716806507,6.16833124319699,-0.06,-0.0,0.0,0.6093042147159576,200.0,1.0
7,-2166.2585706361174,-3208.2964412858546,8000,0.05152047425508499,606,18.649713613836813,11,41.35028638616329,2.1850245156543444,-0.11,-0.0,0.0,0.579998224824667,400.0,1.0
8,2304.191537169542,-2595.797777013033,9000,0.05076093412935734,240,5.129309187140753,6,54.870690812859216,6.3342408603224545,-0.06,-0.0,0.0,0.5379095849394798,200.0,1.0
9,-3008.1197951829436,-2637.029978830024,10000,0.05006629694253206,699,20.24921285602436,9,39.75078714397571,0.09138490118923759,-0.09,-0.0,0.0,0.4996723398566246,400.0,1.0
10,3452.9728441883403,-2020.5690830143474,11000,0.049446796998381615,133,4.27578412135155,6,55.72421587864846,5.961913135187265,-0.06,-0.0,0.0,0.4678018893301487,200.0,1.0
11,-2570.5404955446775,-1668.394273518116,12000,0.04891057964414358,758,20.62193512978361,7,39.37806487021644,0.0,-0.07,-0.729861035793995,0.0,0.49586559981107714,400.0,1.0
12,2750.6831214014915,-748.1690645508776,13000,0.04842938855290413,209,5.017558476720475,6,54.98244152327958,6.774782330360863,-0.06,-0.0,0.0,0.4635839423537254,200.0,1.0
13,-1988.5312517782045,-217.35388056839594,14000,0.04799486976116896,575,20.07142437177802,10,39.92857562822192,0.3651977827174502,-0.1,-0.0,0.0,0.44109269678592683,400.0,0.9
14,2197.924152549017,-54.785198391367885,15000,0.047585085965693,216,5.165805410879783,6,54.83419458912016,5.464201647236805,-0.06,-0.0,0.0,0.4004973931610584,160.0,1.0
15,-2845.7021034741097,29.305541553296553,16000,0.04722571559250355,764,23.979706644957922,8,36.020293355042114,0.14386185616480307,-0.08,-0.0,0.0,0.4138845011591911,400.0,1.0
16,2806.4341139175194,93.30535526098575,17000,0.046906853094697,130,4.287309766085632,6,55.71269023391433,6.136771461793944,-0.06,-0.0,0.0,0.4034667970985174,200.0,1.0
17,-2915.722395397972,18.35897278480029,18000,0.04662652686238289,716,21.290975887317146,9,38.70902411268286,0.0,-0.09,-0.2621390627955922,0.0,0.41103375717997553,400.0,0.8
18,2308.024102424361,18.74222931028221,19000,0.04637825768440962,183,4.906508700429477,6,55.093491299570395,5.776193263094687,-0.06,-0.0,0.0,0.4092447382211685,200.0,1.0
19,-2601.7906552174186,59.37514330683471,20000,0.04616129212081432,712,23.238698161097812,8,36.761301838902185,0.053185004399614044,-0.08,-0.0,0.0,0.4132002466917038,400.0,0.8
20,3579.7779549628367,72.05565438428434,21000,0.045986137352883816,157,4.62770105567824,6,55.37229894432177,5.943585408800387,-0.06,-0.0,0.0,0.4195940013229847,200.0,1.0
21,-2306.4592334695963,98.46378059179247,22000,0.04583919048309326,533,21.08780740319952,11,38.912192596800416,0.0,-0.11,-2.6885183594291373,0.0,0.3859457923471928,400.0,0.5
22,2321.5755231291428,55.553020764557594,23000,0.04571852181106806,193,5.075144306003345,6,54.92485569399667,5.957986476738299,-0.06,-0.0,0.0,0.3653667736798525,200.0,1.0
23,-1935.2182287342414,60.884323068953904,24000,0.04561942908912897,445,20.18267180350303,12,39.81732819649691,0.3774264118172621,-0.12,-0.0,0.0,0.3933492760360241,400.0,0.9
24,2654.8793979440966,106.57984760846186,25000,0.04554044362157583,209,5.223890661209197,6,54.77610933879078,6.125357189084419,-0.06,-0.0,0.0,0.36464307211339475,200.0,1.0
25,-1755.392585059183,215.61079944995453,26000,0.045480379834771156,646,20.273051045368714,9,39.726948954631276,1.8235652299322014,-0.09,-0.0,0.0,0.3758031776547432,400.0,1.0
26,3685.8488654633243,303.552274604535,27000,0.045438069850206375,136,4.18606359543288,6,55.813936404567215,6.07329132842751,-0.06,-0.0,0.0,0.3655891770869493,200.0,1.0
27,-2838.0581408267326,311.3187000616589,28000,0.04540782794356346,696,23.17612331908505,8,36.823876680915056,1.1991212348381486,-0.08,-0.0,0.0,0.36039897948503496,400.0,1.0
28,2846.3095987561737,365.14724969484024,29000,0.04538803733885288,230,5.293219950668762,6,54.706780049331215,6.129589662136676,-0.06,-0.0,0.0,0.35474652037024496,200.0,1.0
29,-4649.720448344568,160.3542703821253,30000,0.04537608660757542,914,25.33659256084342,7,34.66340743915659,0.0,-0.07,-5.528752769822516,0.0,0.3817849314212799,320.0,1.0
