episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,dynamic_min_popularity
0,-10251.184596124947,-10251.184596124947,13000,0.01953973970375955,949,10.746387547981437,1,49.25361245201861,0.0,-0.01,-10.686594797306741,0.0,0.7143025910854339,150.0,0.8
1,-13002.093105476579,-11626.638850800762,14000,0.018450766103342175,1000,31.410435298638422,0,28.589564701361528,0.0,-0.0,-6.321139401549956,0.0,0.7006992107629776,360.0,0.9
2,-10491.837363710156,-11248.371688437226,15000,0.01748260366730392,955,10.433943382963905,0,49.56605661703601,0.0,-0.0,-0.06474579900979549,0.0,0.6994975478947163,200.0,0.4
3,-13429.72805869757,-11793.710781002312,16000,0.01662707864306867,1000,33.37745951039423,0,26.622540489605708,0.0,-0.0,-4.60336111612309,0.0,0.6781506171822548,380.0,0.8
4,-10248.415349500463,-11484.651694701943,17000,0.01587888738140464,951,10.148067437923977,0,49.85193256207589,0.0,-0.0,-1.3802088170978388,0.0,0.6486580091714859,200.0,0.30000000000000004
5,-13353.16870000164,-11796.071195585226,18000,0.015230662655085325,1000,32.86332477263444,0,27.136675227365597,0.0,-0.0,-11.389037155062724,0.0,0.6408105933666229,300.0,0.0
6,-10949.662941340906,-11675.15573069318,19000,0.01467938325367868,960,11.626912153061376,0,48.373087846938674,0.0,-0.0,-2.533161963435444,0.0,0.6107122781872749,200.0,0.7000000000000001
7,-13181.877341726718,-11863.495932072372,20000,0.01421281578950584,1000,31.445653189289004,0,28.554346810710836,0.0,-0.0,-16.238343618659286,0.0,0.6127145344018936,260.0,0.30000000000000004
8,-10884.861549647732,-11754.758778469633,21000,0.013825346482917666,965,10.787572208034298,0,49.21242779196566,0.0,-0.0,-17.439848111872575,0.0,0.58188062235713,120.0,0.8
9,-13405.930863526464,-11919.875986975316,22000,0.013503082329407334,1000,32.26090845223737,0,27.73909154776267,0.0,-0.0,-7.602783299425138,0.0,0.571904376745224,340.0,0.5
10,-9801.600943194746,-11874.917621682298,23000,0.01324113691225648,722,8.404894042952417,6,51.59510595704753,0.0,-0.06,-4.052949202600193,0.0,0.5942528954148293,190.0,1.0
11,-12972.611517069927,-11871.969462841633,24000,0.013026094064116478,1000,29.603732663800102,0,30.396267336200015,0.0,-0.0,-12.297709226566864,0.0,0.5616005110740662,280.0,0.5
12,-10958.147800630388,-11918.600506533656,25000,0.012862895848229527,965,10.906102098071266,0,49.09389790192879,0.0,-0.0,-13.23448468254616,0.0,0.5884057143330574,130.0,0.8
13,-13329.637046811968,-11908.591405345096,26000,0.01273817871697247,1000,32.49132792625488,0,27.508672073745082,0.0,-0.0,-12.49021729740556,0.0,0.5628133022785187,280.0,0.30000000000000004
14,-10966.062183652171,-11980.356088760267,27000,0.012647373136132956,946,11.532465933075212,0,48.46753406692471,0.0,-0.0,-16.098959570098536,0.0,0.5563665510714054,120.0,0.5
15,-13445.7555015404,-11989.614768914142,28000,0.012586191995069385,1000,32.92727213783904,0,27.072727862160995,0.0,-0.0,-17.95214314870604,0.0,0.5497203928232193,240.0,0.0
16,-2132.959809189762,-11107.944455699027,29000,0.012549567967653275,307,5.546907988086773,6,54.45309201191315,10.0,-0.06,-0.0,0.0,0.579265389740467,140.0,0.4
17,-13229.912159930785,-11112.747937519434,30000,0.012529113097116351,1000,31.82633740029382,0,28.173662599706077,0.0,-0.0,-10.589024854688805,0.0,0.5336551581323147,300.0,0.1
18,-3099.2960271186053,-10334.19138526652,31000,0.012520069489255548,455,6.538347822974854,6,53.461652177025165,10.0,-0.06,-0.0,0.0,0.5368639516830445,160.0,0.4
19,-13313.509255207227,-10324.949224434598,32000,0.012514177244156599,1000,32.17579161247885,0,27.824208387521153,0.0,-0.0,-10.277638153118694,0.0,0.5289310182631016,300.0,0.1
20,-4718.046249944442,-9816.593755109567,33000,0.012506024679169059,539,7.368381878072225,6,52.631618121927694,10.0,-0.06,-0.0,0.0,0.5549800641834736,150.0,0.30000000000000004
21,-13415.11002738477,-9860.84360614105,34000,0.012488115578889847,1000,32.00410687514819,0,27.995893124851804,0.0,-0.0,-14.768219416291197,0.0,0.5255576477944851,260.0,0.4
22,-2348.4987485717074,-8999.878700935184,35000,0.012455101124942303,419,6.161606832826882,6,53.83839316717316,10.0,-0.06,-0.0,0.0,0.5334822370111942,200.0,0.30000000000000004
23,-13423.983884270572,-9009.313384681043,36000,0.012405316811054945,1000,32.376756882498825,0,27.623243117501186,0.0,-0.0,-16.052397660049976,0.0,0.5078077340871096,260.0,0.9
24,-3870.9546315813704,-8299.802629473965,37000,0.012332767015323043,477,6.349868887885645,6,53.65013111211436,10.0,-0.06,-0.0,0.0,0.5042327184975147,120.0,0.30000000000000004
25,-13089.88182885914,-8264.215262205838,38000,0.012234780937433243,1000,30.125082145189705,0,29.874917854810242,0.0,-0.0,-17.813512060995276,0.0,0.48689540967345235,260.0,1.0
26,-8835.227736845518,-8934.442054971416,39000,0.012110569281503558,732,8.436680722838096,6,51.56331927716184,0.6437623573522031,-0.06,-0.0,0.0,0.5115030312538147,200.0,0.1
27,-13461.30994680712,-8957.581833659047,40000,0.011956372065469623,1000,32.82821635731029,0,27.17178364268966,0.0,-0.0,-7.814329934029147,0.0,0.48286554679274557,340.0,0.7000000000000001
28,182.1942362071293,-8629.432807326473,41000,0.0117643466219306,241,5.410664777785278,6,54.58933522221481,10.0,-0.06,-0.0,0.0,0.47706196039915083,170.0,1.0
29,-13398.365918343989,-8637.91847364015,42000,0.011540239676833153,1000,32.42928161944325,0,27.57071838055673,0.0,-0.0,-16.616352991128366,0.0,0.44456577718257906,260.0,0.0
