episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,dynamic_tsla,dynamic_min_popularity
0,-2747.746342772969,-2747.746342772969,0.99981,1458,432,6.015678924151371,6,53.984321075848754,4.504185653254775,-0.06,-0.0,0.0,140.0,0.5
1,-10315.708894146315,-6531.727618459642,0.99962,1458,885,26.164861950589245,12,33.83513804941067,0.0,-0.12,-12.453114162977936,0.0,280.0,0.5
2,-7983.486536816928,-7015.647257912071,0.99943,1458,585,6.675107858490926,6,53.32489214150913,0.0,-0.06,-1.2612416417365502,0.0,200.0,0.7000000000000001
3,-11984.527416415183,-8257.867297537849,0.99924,1458,718,21.77829422432707,12,38.22170577567295,0.0,-0.12,-3.6965828754456886,0.0,340.0,0.0
4,-5759.419084608915,-7758.177654952061,0.99905,1458,45,3.6723602136881803,6,56.327639786311806,5.043170853173953,-0.06,-0.0,0.0,150.0,1.0
5,-15308.565296774455,-9016.575595255794,0.99886,1458,779,21.494903466536073,12,38.50509653346399,0.0,-0.12,-9.117823948805412,0.0,300.0,0.8
6,-4395.452579989609,-8356.415164503482,0.99867,1458,147,4.189552831934896,6,55.81044716806508,6.16833124319699,-0.06,-0.0,0.0,200.0,0.7000000000000001
7,-13111.940456728804,-8950.855826031648,0.99848,1458,626,18.980013613836825,12,41.019986386163225,0.0,-0.12,-4.106099440243529,0.0,320.0,0.9
8,-8099.784009011509,-8856.292290807187,0.99829,1458,427,5.466359187140748,6,54.533640812859204,0.0,-0.06,-13.861441914191936,0.0,130.0,0.9
9,-12901.838093135713,-9260.84687104004,0.9981,1458,676,20.636212856024365,12,39.36378714397572,3.222709430164409,-0.12,-0.0,0.0,400.0,0.5
10,-7338.4921092949335,-9719.921447692237,0.99791,1458,466,5.626234121351562,6,54.37376587864846,6.261913135187276,-0.06,-0.0,0.0,200.0,0.8
11,-14260.389014776996,-10114.389459755304,0.99772,1458,716,21.435085129783637,12,38.56491487021639,0.0,-0.12,-7.289190485786148,0.0,280.0,0.9
12,-6426.710764865893,-9958.7118825602,0.99753,1458,419,5.504008476720475,6,54.495991523279535,0.0,-0.06,-12.879531815824766,0.0,120.0,0.1
13,-13136.866310544194,-10073.945771973104,0.99734,1458,630,18.503624371778024,12,41.49637562822201,0.0,-0.12,-1.0835210739544499,0.0,340.0,0.5
14,-7543.956102723063,-10252.399473784517,0.99715,1458,495,5.920455410879788,6,54.07954458912011,0.0,-0.06,-12.00731977872914,0.0,120.0,0.30000000000000004
15,-15279.422168215115,-10249.485160928583,0.99696,1458,768,21.137056644957934,12,38.862943355042155,0.7042909512939199,-0.12,-0.0,0.0,360.0,0.1
16,-11720.634830150773,-10982.0033859447,0.99677,1458,760,7.870209766085636,6,52.12979023391437,0.0,-0.06,-3.693216178831751,0.0,170.0,0.5
17,-12108.031683874447,-10881.612508659262,0.99658,1458,626,20.465225887317118,12,39.53477411268285,0.678930468601382,-0.12,-0.0,0.0,400.0,0.30000000000000004
18,-6711.245253231286,-10742.758633081241,0.99639,1458,427,5.502308700429477,6,54.49769129957046,4.720241578868357,-0.06,-0.0,0.0,160.0,0.8
19,-14736.256637356126,-10926.200487503284,0.9962,1458,760,19.940648161097798,12,40.059351838902174,0.0,-0.12,-0.45958887911264235,0.0,360.0,0.6000000000000001
20,-6065.123449374508,-10798.86362151124,0.99601,1458,331,4.953051055678241,6,55.046948944321805,5.826206009777826,-0.06,-0.0,0.0,180.0,1.0
21,-15774.30622844929,-10950.25534287847,0.99582,1458,794,22.014807403199544,12,37.9851925968005,0.0,-0.12,-5.751198069917156,0.0,340.0,0.1
22,-7164.109835956919,-11023.99524998757,0.99563,1458,525,6.079994306003353,6,53.92000569399663,5.842207196375505,-0.06,-0.0,0.0,180.0,1.0
23,-16359.453265048223,-11346.253945437975,0.99544,1458,765,20.804121803503033,12,39.19587819649694,0.0,-0.12,-5.4644959662380765,0.0,280.0,0.7000000000000001
24,-8461.347960975561,-11437.993131263225,0.99525,1458,611,6.481190661209201,6,53.51880933879081,6.405357189084477,-0.06,-0.0,0.0,200.0,0.7000000000000001
25,-13697.29057284745,-11279.77997172646,0.9950600000000001,1458,549,19.36045104536875,12,40.63954895463134,0.12475363990768318,-0.12,-0.0,0.0,300.0,0.1
26,-7103.018796982757,-10818.018368409657,0.99487,1458,564,6.35056359543288,6,53.649436404567226,0.0,-0.06,-2.288880147814294,0.0,180.0,0.4
27,-13275.62519887687,-10934.777719909898,0.99468,1458,744,21.81712331908506,12,38.18287668091495,0.0,-0.12,-7.545436997857489,0.0,260.0,1.0
28,-8747.090564958171,-11138.362251082586,0.99449,1458,469,5.934919950668761,6,54.06508004933122,0.0,-0.06,-7.533500217291431,0.0,160.0,0.2
29,-17635.419623758895,-11428.278549722863,0.9943,1458,773,20.709692560843422,12,39.29030743915662,0.0,-0.12,-8.817014287697598,0.0,300.0,0.2
