episode,reward,avg10,epsilon,buffer,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss
0,9223.244022631428,9223.244022631428,0.999000499833375,1000,,,,,,,,,0.021178481113747694
1,9209.459129127268,9216.351575879347,0.9980019986673331,2000,,,,,,,,,0.36215358956949784
2,9230.142596859823,9220.94858287284,0.997004495503373,3000,,,,,,,,,1.0344874213309958
3,9229.816753588784,9223.165625551825,0.9960079893439915,4000,,,,,,,,,1.9518139092624187
4,9223.306498111217,9223.193800063704,0.9950124791926823,5000,,,,,,,,,1.867404568437487
5,9222.994942086463,9223.160657067498,0.9940179640539353,6000,,,,,,,,,3.2977670831047
6,9209.8698598754,9221.26197175434,0.9930244429332351,7000,,,,,,,,,3.7956068662181495
7,9222.783383691904,9221.452148246535,0.9920319148370607,8000,,,,,,,,,5.283271261062473
8,9167.52102459354,9215.45980117398,0.9910403787728838,9000,,,,,,,,,4.576976482793689
9,9203.526394431141,9214.266460499697,0.9900498337491682,10000,,,,,,,,,6.7351711504906415
10,9202.966275061182,9212.238685742672,0.9890602787753688,11000,,,,,,,,,6.646591384112835
11,9223.556109060117,9213.648383735957,0.9880717128619307,12000,,,,,,,,,7.484906734451652
12,9217.000916265091,9212.334215676483,0.9870841350202878,13000,,,,,,,,,7.61657110657543
13,9164.04428530672,9205.756968848278,0.9860975442628621,14000,,,,,,,,,7.601488355994224
14,9215.614493700477,9204.987768407202,0.9851119396030629,15000,,,,,,,,,7.894349881410599
15,9216.379367946029,9204.326210993162,0.9841273200552854,16000,,,,,,,,,10.19751287639141
16,9190.977134845714,9202.436938490191,0.9831436846349099,17000,,,,,,,,,10.181759468913079
17,9236.718502126914,9203.830450333693,0.982161032358301,18000,,,,,,,,,9.597503491491079
18,9221.793462219357,9209.257694096274,0.9811793622428063,19000,,,,,,,,,11.096200830042362
19,9202.673476641014,9209.172402317261,0.9801986733067557,20000,,,,,,,,,11.316092091798783
20,9217.346520664782,9210.610426877622,0.97921896456946,21000,,,,,,,,,12.368744203075767
21,9196.547227474912,9207.909538719101,0.9782402350512105,22000,,,,,,,,,12.803001897335053
22,9230.048852696316,9209.214332362224,0.9772624837732775,23000,,,,,,,,,12.358671200685203
23,9236.496673025365,9216.459571134088,0.9762857097579097,24000,,,,,,,,,11.381312699913979
24,9229.446531017204,9217.842774865761,0.9753099120283332,25000,,,,,,,,,12.797242151200772
25,9161.055189950435,9212.310357066202,0.9743350896087498,26000,,,,,,,,,11.275566308498382
26,9170.13040774841,9210.225684356472,0.9733612415243373,27000,,,,,,,,,12.721087883263827
27,9190.305106829426,9205.584344826722,0.9723883668012475,28000,,,,,,,,,13.953367026299238
28,9216.087053608362,9205.013703965622,0.9714164644666055,29000,,,,,,,,,15.436776907444
29,9189.956356782583,9203.74199197978,0.9704455335485088,30000,,,,,,,,,13.846247165203094
30,9200.716453217354,9202.078985235037,0.9694755730760266,31000,,,,,,,,,14.89714081287384
31,9209.857276881316,9203.409990175676,0.9685065820791983,32000,,,,,,,,,13.449567202478647
32,9216.596425274798,9202.064747433524,0.9675385595890327,33000,,,,,,,,,12.50561608105898
33,9196.238018118172,9198.038881942804,0.9665715046375073,34000,,,,,,,,,13.067693834006786
34,9223.36639021811,9197.430867862897,0.9656054162575671,35000,,,,,,,,,12.960259404759855
35,9203.579057528092,9201.683254620662,0.9646402934831237,36000,,,,,,,,,16.066074846982957
36,9170.67785992977,9201.737999838797,0.9636761353490542,37000,,,,,,,,,13.433593919873237
37,9177.432778924307,9200.450767048287,0.9627129408912003,38000,,,,,,,,,13.72115131378174
38,9229.812316141688,9201.82329330162,0.9617507091463675,39000,,,,,,,,,13.323535265186802
39,9194.978885494098,9202.325546172771,0.9607894391523241,40000,,,,,,,,,14.545711834430694
40,9222.034685007822,9204.457369351816,0.9598291299477998,41000,,,,,,,,,14.450192549228667
41,9236.356833136962,9207.107324977382,0.9588697805724854,42000,,,,,,,,,12.998884708881379
42,9229.657888250425,9208.413471274946,0.9579113900670315,43000,,,,,,,,,12.880940289497376
43,9236.433852703332,9212.43305473346,0.9569539574730476,44000,,,,,,,,,12.657995350658894
44,9196.221491084245,9209.718564820072,0.9559974818331008,45000,,,,,,,,,14.348669503033161
45,9197.667581161873,9209.127417183454,0.9550419621907156,46000,,,,,,,,,12.967329078689218
46,9190.43050625607,9211.102681816084,0.9540873975903721,47000,,,,,,,,,13.14828115582466
47,9223.370559361649,9215.696459859817,0.9531337870775057,48000,,,,,,,,,13.577660576999188
48,9196.352342543265,9212.350462499973,0.9521811296985059,49000,,,,,,,,,13.921758669018745
49,9236.485979629379,9216.501171913504,0.951229424500715,50000,,,,,,,,,14.016641939282417
