episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss
0,5107.1530848993225,5107.1530848993225,1000,0.06935121864080429,53,3.8570289241513613,6,56.14297107584871,6.792929957277918,-0.06,-0.0,0.0,0.0
1,5618.794494807354,5362.9737898533385,2000,0.06857441086322069,50,3.876534746621404,6,56.12346525337861,6.8715420025595275,-0.06,-0.0,0.0,2.2114201509952545
2,6089.4025971321935,5605.1167256129565,3000,0.06618073489516973,67,3.9679078584909213,2,56.03209214150906,6.774602230890685,-0.02,-0.0,0.0,1.7070983785390854
3,6382.288505743225,5799.409670645524,4000,0.06426690146327019,48,3.808349680935207,2,56.191650319064834,6.873214278005447,-0.02,-0.0,0.0,1.0629778790473938
4,6404.825869156896,5920.492910347798,5000,0.06297909375280142,47,3.8123102136881806,2,56.18768978631183,6.882378139880132,-0.02,-0.0,0.0,0.6256516101956368
5,6380.5992575543505,5997.177301548891,6000,0.06210792437195778,51,3.8101260360766793,2,56.18987396392332,6.975990185385616,-0.02,-0.0,0.0,0.4574538287520409
6,6399.539783297552,6054.657656084413,7000,0.06133635714650154,48,3.8066028319348986,2,56.1933971680651,6.826464952137692,-0.02,-0.0,0.0,0.4283519712090492
7,6381.320759468674,6095.490544007446,8000,0.06069484446197748,50,3.81334665422898,2,56.18665334577089,6.85107699764282,-0.02,-0.0,0.0,0.4098877458274364
8,6384.675811874724,6127.622240437144,9000,0.06011667847633362,48,3.8112591871407395,2,56.188740812859216,6.914240860322169,-0.02,-0.0,0.0,0.3739301799982786
9,6382.510380873797,6153.111054480809,10000,0.05960323754698038,47,3.8128190095378165,2,56.1871809904622,7.027852905827604,-0.02,-0.0,0.0,0.37360449727624656
10,6389.870619986235,6281.3828079895,11000,0.05919951945543289,50,3.8082341213515516,2,56.191765878648425,6.861913135186942,-0.02,-0.0,0.0,0.3698843777179718
11,6394.310927772286,6358.934451285993,12000,0.05885760020464659,49,3.808353943813006,2,56.191646056187146,6.940525180468908,-0.02,-0.0,0.0,0.36790506072342394
12,6408.043879484793,6390.7985795212535,13000,0.05856858938932419,44,3.8088584767204794,2,56.19114152327957,6.949689043371774,-0.02,-0.0,0.0,0.3572927153110504
13,6397.271166812164,6392.296845628147,14000,0.05832346063107252,41,3.806098299044596,2,56.19390170095546,6.763301088653682,-0.02,-0.0,0.0,0.3972446106374264
14,6381.502282601006,6389.964486972558,15000,0.058133882470428944,48,3.8113054108797857,2,56.18869458912012,6.951361317789512,-0.02,-0.0,0.0,0.35789680399000645
