episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action
0,-4835.967375176708,-4835.967375176708,0.99981,243,9,45.94888657914322,6,14.05111342085689,7.7671932992361565,-0.30000000000000004,-0.0,-2.0
1,-4576.7835426609645,-4706.375458918836,0.99962,243,5,45.95871083980329,6,14.04128916019657,7.76671295493275,-0.30000000000000004,-0.0,-2.0
2,-4605.3650348077135,-4672.705317548462,0.99943,243,6,45.967462142053144,6,14.032537857946771,7.768300174762956,-0.30000000000000004,-0.0,-2.0
3,-4727.579080627829,-4686.423758318304,0.99924,243,8,45.95507240252864,6,14.044927597471249,7.771644757288735,-0.30000000000000004,-0.0,-2.0
4,-4488.593016065802,-4646.857609867804,0.99905,243,9,45.94192962106737,6,14.058070378932607,7.780531216441778,-0.30000000000000004,-0.0,-2.0
5,-4705.4851420491605,-4656.628865231363,0.99886,243,7,45.95922988167615,6,14.040770118323993,7.761989263935421,-0.30000000000000004,-0.0,-2.0
6,-4652.728984441457,-4656.071739404234,0.99867,243,6,45.95186084969072,6,14.04813915030931,7.767334755700478,-0.30000000000000004,-0.0,-2.0
7,-4891.718223410431,-4685.5275499050085,0.99848,243,16,45.93187511006763,6,14.06812488993226,7.767742710476061,-0.30000000000000004,-0.0,-2.0
8,-4804.883900038145,-4698.7893665864685,0.99829,243,6,45.95416632863627,6,14.045833671363532,7.758956569652572,-0.30000000000000004,-0.0,-2.0
9,-4707.646080754263,-4699.675038003248,0.9981,243,9,45.94740858904335,6,14.05259141095663,7.759800276383427,-0.30000000000000004,-0.0,0.0
10,-4711.521352638814,-4687.230435749458,0.99791,243,8,45.94877189125451,6,14.051228108745365,7.768245582124962,-0.30000000000000004,-0.0,-2.0
11,-4816.528533947844,-4711.204934878146,0.99772,243,6,45.955630151730226,6,14.044369848269909,7.76090715222315,-0.30000000000000004,-0.0,0.0
12,-4602.941521330402,-4710.962583530415,0.99753,243,7,45.95555337046619,6,14.044446629533672,7.76560371458492,-0.30000000000000004,-0.0,0.0
13,-4721.2206004008585,-4710.326735507717,0.99734,243,7,45.952007631134904,6,14.04799236886496,7.761000138035938,-0.30000000000000004,-0.0,0.0
14,-4696.365443814176,-4731.103978282555,0.99715,243,8,45.94170293327304,6,14.058297066726809,7.766710590268183,-0.30000000000000004,-0.0,0.0
15,-4803.888899983928,-4740.944354076031,0.99696,243,9,45.94050319368444,6,14.059496806315533,7.762205417207784,-0.30000000000000004,-0.0,0.0
16,-4641.338600329372,-4739.805315664822,0.99677,243,14,45.921518412300216,6,14.078481587699693,7.769786279172352,-0.30000000000000004,-0.0,0.0
17,-4784.006691066152,-4729.034162430396,0.99658,243,6,45.95958267274162,6,14.04041732725839,7.774814992592427,-0.30000000000000004,-0.0,-2.0
18,-4669.577314164009,-4715.503503842982,0.99639,243,7,45.95418397495684,6,14.045816025042827,7.776858560568991,-0.30000000000000004,-0.0,0.0
19,-4618.703457035588,-4706.609241471115,0.9962,243,5,45.95422823529529,6,14.045771764704522,7.761993285173907,-0.30000000000000004,-0.0,0.0
