episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action
0,-4729.834199089926,-4729.834199089926,0.99981,243,7,45.933086579143215,6,14.066913420856888,7.7671932992361565,-0.30000000000000004,-0.0,0.0
1,-4722.898678549195,-4726.366438819561,0.99962,243,6,45.956760839803295,6,14.043239160196562,7.76671295493275,-0.30000000000000004,-0.0,-2.0
2,-4757.704495989457,-4736.812457876194,0.99943,243,11,45.96226214205314,6,14.037737857946766,7.768300174762956,-0.30000000000000004,-0.0,0.0
3,-4724.53740408412,-4733.743694428174,0.99924,243,8,45.95572240252864,6,14.044277597471249,7.771644757288735,-0.30000000000000004,-0.0,-2.0
4,-4818.611397497535,-4750.717235042046,0.99905,243,10,45.94352962106737,6,14.056470378932596,7.780531216441778,-0.30000000000000004,-0.0,-2.0
