episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,dynamic_tsla,replication_state
32,5072.2320611409605,4361.789417394962,0.99373,1458,0,3.3468012402141647,6,56.6531987597858,6.830515420242806,-0.06,-0.0,0.0,200.0,BALANCED
33,3621.426925866278,4355.473047522156,0.99354,1458,7,12.250554076597098,12,47.74944592340288,5.502268349643986,-0.12,-0.0,0.0,400.0,BALANCED
34,4877.645897762518,4342.172769721649,0.99335,1458,5,3.3735841744249773,6,56.626415825575016,6.832187694079401,-0.06,-0.0,0.0,200.0,BALANCED
35,3641.2986501869063,4341.884774667948,0.99316,1458,11,12.24554635007737,12,47.75445364992261,5.95264103812516,-0.12,-0.0,0.0,400.0,BALANCED
36,4971.116316739753,4330.559522997906,0.99297,1458,1,3.343842529789611,6,56.65615747021037,7.934963603068695,-0.06,-0.0,0.0,200.0,BALANCED
37,3730.7611280364504,4340.310328239545,0.99278,1458,6,12.178605592372211,12,47.82139440762776,6.0305168087884535,-0.12,-0.0,0.0,400.0,BALANCED
38,4973.527793282612,4335.660418511079,0.99259,1458,1,3.3528411479290354,6,56.64715885207099,6.8640504145214365,-0.06,-0.0,0.0,200.0,BALANCED
39,3670.4998201015037,4326.414116296053,0.9924,1458,8,12.21044574029527,12,47.78955425970472,5.717401825522453,-0.12,-0.0,0.0,400.0,BALANCED
40,4966.365059701302,4327.910776437275,0.99221,1458,5,3.3737155031820847,6,56.626284496817924,6.9868263235108845,-0.06,-0.0,0.0,200.0,BALANCED
41,3691.1096643612377,4321.5983317179525,0.99202,1458,16,12.346454981839088,12,47.65354501816087,5.398277596497431,-0.12,-0.0,0.0,400.0,BALANCED
42,4953.460696217839,4309.72119522564,0.99183,1458,1,3.3541844373843097,6,56.64581556261568,7.899498597347325,-0.06,-0.0,0.0,200.0,BALANCED
43,3692.2727312081333,4316.805775759825,0.99164,1458,13,12.310397255769997,12,47.68960274422995,5.728650284666994,-0.12,-0.0,0.0,400.0,BALANCED
44,4984.061600779155,4327.447346061489,0.99145,1458,1,3.34411679271461,6,56.65588320728547,6.722274506336605,-0.06,-0.0,0.0,200.0,BALANCED
45,3725.501311359983,4335.867612178797,0.99126,1458,5,12.139506498193573,12,47.86049350180638,5.409526055351401,-0.12,-0.0,0.0,400.0,BALANCED
46,5084.940303321327,4347.250010836955,0.99107,1458,1,3.3439717268696354,6,56.656028273130325,7.003946780173257,-0.06,-0.0,0.0,200.0,BALANCED
47,3668.0888047377593,4340.982778507085,0.99088,1458,21,12.468938771802604,12,47.53106122819739,5.7593987438115395,-0.12,-0.0,0.0,400.0,BALANCED
48,4879.157254037182,4331.545724582543,0.99069,1458,8,3.413446082251428,6,56.58655391774861,6.811722689162694,-0.06,-0.0,0.0,200.0,BALANCED
49,3758.962044036635,4340.391946976055,0.9905,1458,4,12.178708013732646,12,47.82129198626737,5.447774514384188,-0.12,-0.0,0.0,400.0,BALANCED
50,4919.744631917402,4335.729904197665,0.99031,1458,3,3.3644310165351925,6,56.635568983464694,6.813394962999287,-0.06,-0.0,0.0,200.0,BALANCED
51,3830.175008549932,4349.636438616535,0.99012,1458,9,12.217080287384611,12,47.78291971261546,5.76064720244166,-0.12,-0.0,0.0,400.0,BALANCED
52,4967.807100621224,4351.071079056873,0.98993,1458,2,3.3563613717667873,6,56.64363862823322,6.901170871988427,-0.06,-0.0,0.0,200.0,BALANCED
53,3649.93828821814,4346.837634757874,0.98974,1458,7,12.222679529550701,12,47.777320470449226,5.441522972724445,-0.12,-0.0,0.0,400.0,BALANCED
54,5013.267470458191,4349.758221725778,0.98955,1458,1,3.345326621993198,6,56.65467337800672,7.9014286079854035,-0.06,-0.0,0.0,200.0,BALANCED
55,3758.0272468559297,4353.010815275372,0.98936,1458,9,12.183973929467978,12,47.816026070532004,5.315383332619868,-0.12,-0.0,0.0,400.0,BALANCED
56,4956.634982245271,4340.180283167766,0.98917,1458,5,3.379214977126082,6,56.6207850228739,6.7632045161700205,-0.06,-0.0,0.0,200.0,BALANCED
57,3631.7367496595584,4336.545077659946,0.98898,1458,8,12.225753171140523,12,47.77424682885948,5.6232591035948705,-0.12,-0.0,0.0,400.0,BALANCED
58,4969.424772757158,4345.571829531944,0.98879,1458,4,3.3550759113497683,6,56.644924088650264,6.990876790811336,-0.06,-0.0,0.0,200.0,BALANCED
59,3705.711630600232,4340.246788188304,0.9886,1458,8,12.195185445157271,12,47.80481455484262,5.343631791652321,-0.12,-0.0,0.0,400.0,BALANCED
60,5101.709353430451,4358.44326033961,0.98841,1458,5,3.374780266731566,6,56.62521973326842,6.798652698996108,-0.06,-0.0,0.0,200.0,BALANCED
61,3674.932258959509,4342.918985380567,0.98822,1458,8,12.199794687151675,12,47.800205312848256,5.634507562337083,-0.12,-0.0,0.0,400.0,BALANCED
62,5107.653767426489,4356.903652061093,0.98803,1458,2,3.351775200955247,6,56.64822479904474,6.800324973413847,-0.06,-0.0,0.0,200.0,BALANCED
63,3673.2402203443353,4359.233845273713,0.98784,1458,8,12.166166960975309,12,47.833833039024675,5.854880250394789,-0.12,-0.0,0.0,400.0,BALANCED
64,5028.813869803251,4360.788485208219,0.98765,1458,3,3.3495375560580958,6,56.65046244394193,6.903100881821841,-0.06,-0.0,0.0,200.0,BALANCED
65,3818.5416801667398,4366.8399285393,0.98746,1458,8,12.179416202669316,12,47.82058379733067,5.6357560214820035,-0.12,-0.0,0.0,400.0,BALANCED
66,5080.975321776322,4379.273962492404,0.98727,1458,0,3.3435784904405703,6,56.6564215095593,6.869773156239627,-0.06,-0.0,0.0,200.0,BALANCED
67,3735.7804304718316,4389.678330573632,0.98708,1458,7,12.205908476278335,12,47.79409152372154,5.858628709427574,-0.12,-0.0,0.0,400.0,BALANCED
68,4948.056865467391,4387.541539844655,0.98689,1458,1,3.3566228457880327,6,56.64337715421205,6.992549064424411,-0.06,-0.0,0.0,200.0,BALANCED
69,3739.0996367955536,4390.880340464188,0.9867,1458,10,12.217267719088166,12,47.782732280911794,5.666504479710126,-0.12,-0.0,0.0,400.0,BALANCED
70,4980.318083473749,4378.741213468516,0.98651,1458,6,3.3928554640004207,6,56.60714453599954,6.867635876905133,-0.06,-0.0,0.0,200.0,BALANCED
71,3795.0612040347464,4390.75410797604,0.98632,1458,6,12.2011378659598,12,47.79886213404024,5.853389496957762,-0.12,-0.0,0.0,400.0,BALANCED
72,4887.221627541251,4368.710893987517,0.98613,1458,4,3.3674518191848017,6,56.63254818081517,7.024411785894627,-0.06,-0.0,0.0,200.0,BALANCED
73,3776.9573389432685,4379.08260584741,0.98594,1458,5,12.129967108082976,12,47.87003289191704,5.541765267419361,-0.12,-0.0,0.0,400.0,BALANCED
74,5010.173098612772,4377.218528728363,0.98575,1458,2,3.3534107535200706,6,56.64658924647999,6.972084059507704,-0.06,-0.0,0.0,200.0,BALANCED
75,3577.9253762409558,4353.156898335784,0.98556,1458,9,12.219009381928053,12,47.78099061807195,5.8646379559905455,-0.12,-0.0,0.0,400.0,BALANCED
76,4959.297385837562,4340.989104741909,0.98537,1458,4,3.3543591086915785,6,56.645640891308375,6.7798599687206575,-0.06,-0.0,0.0,200.0,BALANCED
77,3660.993186970952,4333.51038039182,0.9851800000000001,1458,8,12.193378623943907,12,47.806621376056086,5.545513726675662,-0.12,-0.0,0.0,400.0,BALANCED
78,4982.083974434601,4336.913091288542,0.98499,1458,3,3.3674980429281427,6,56.632501957071774,6.761532242333425,-0.06,-0.0,0.0,200.0,BALANCED
79,3624.6116348926516,4325.46429109825,0.9848,1458,13,12.308700898325428,12,47.691299101674495,5.8658864147331355,-0.12,-0.0,0.0,400.0,BALANCED
80,5002.879942940536,4327.72047704493,0.98461,1458,0,3.343552398275611,6,56.65644760172439,6.86930815051821,-0.06,-0.0,0.0,200.0,BALANCED
81,3759.0232433467104,4324.116680976126,0.98442,1458,4,12.128090139611746,12,47.87190986038812,5.573762185417542,-0.12,-0.0,0.0,400.0,BALANCED
82,4983.059883194606,4333.700506541461,0.98423,1458,2,3.3607413324778284,6,56.63925866752207,6.8509804251595146,-0.06,-0.0,0.0,200.0,BALANCED
83,3742.811564307817,4330.285929077917,0.98404,1458,5,12.143422413456806,12,47.85657758654314,5.304134873765898,-0.12,-0.0,0.0,400.0,BALANCED
84,5000.823830096247,4329.351002226264,0.98385,1458,1,3.350655687765212,6,56.64934431223485,6.953756333344345,-0.06,-0.0,0.0,200.0,BALANCED
85,3736.044273098543,4345.162891912023,0.98366,1458,7,12.169901656116426,12,47.83009834388358,5.5850106444503265,-0.12,-0.0,0.0,400.0,BALANCED
86,4962.3831282933525,4345.471466157602,0.98347,1458,1,3.347880409866876,6,56.6521195901332,6.867330370940898,-0.06,-0.0,0.0,200.0,BALANCED
87,3693.902658372148,4348.762413297722,0.98328,1458,8,12.133029045825216,12,47.86697095417473,5.572969633531697,-0.12,-0.0,0.0,400.0,BALANCED
88,5041.253450190729,4354.679360873334,0.98309,1458,5,3.3924427650169298,6,56.607557234983,6.970106279930393,-0.06,-0.0,0.0,200.0,BALANCED
89,3750.343032536577,4367.252500637726,0.9829,1458,8,12.215758287326125,12,47.78424171267388,5.8538454041043675,-0.12,-0.0,0.0,400.0,BALANCED
90,5074.014947826133,4374.366001126286,0.98271,1458,3,3.3584756993264433,6,56.64152430067362,6.917778553766986,-0.06,-0.0,0.0,200.0,BALANCED
91,3691.97747118861,4367.6614239104765,0.98252,1458,9,12.239820561171188,12,47.7601794388287,5.584218092564481,-0.12,-0.0,0.0,400.0,BALANCED
92,5011.093654455769,4370.464801036594,0.98233,1458,3,3.353898054678198,6,56.64610194532175,6.779554462756066,-0.06,-0.0,0.0,200.0,BALANCED
93,3732.4425322390757,4369.427897829718,0.98214,1458,8,12.220129803294371,12,47.77987019670568,5.86509386284658,-0.12,-0.0,0.0,400.0,BALANCED
94,4925.633249983068,4361.908839818401,0.98195,1458,3,3.3768829888718472,6,56.623117011128194,7.007226737173864,-0.06,-0.0,0.0,200.0,BALANCED
95,3691.099966399725,4357.414409148519,0.98176,1458,8,12.191632076603,12,47.808367923397,5.585466551306362,-0.12,-0.0,0.0,400.0,BALANCED
96,4969.292094706872,4358.105305789871,0.98157,1458,2,3.35174934408198,6,56.64825065591809,6.815002645358637,-0.06,-0.0,0.0,200.0,BALANCED
97,3756.446416391136,4364.35968159177,0.98138,1458,5,12.136211318854913,12,47.863788681144996,5.893342321879745,-0.12,-0.0,0.0,400.0,BALANCED
98,5030.32059381289,4363.266395953985,0.98119,1458,1,3.346114278340003,6,56.653885721660075,6.796674919999941,-0.06,-0.0,0.0,200.0,BALANCED
99,3663.5314141919225,4354.58523411952,0.981,1458,7,12.17359359274291,12,47.826406407257096,5.623715010339146,-0.12,-0.0,0.0,400.0,BALANCED
