episode,reward,avg10,epsilon,buffer,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss
0,-15207.211513438413,-15207.211513438413,0.999000499833375,3000,20,63.9892365791431,3,1936.0107634208605,7.7671932992361565,-0.15000000000000002,-0.0,0.0,1.0556713342666626
1,-14907.10850947874,-15057.160011458576,0.9980019986673331,6000,20,63.989460839803435,3,1936.0105391601912,7.76671295493275,-0.15000000000000002,-0.0,0.0,0.9894435703754425
2,-15049.060545740826,-15054.46018955266,0.997004495503373,9000,26,64.01996214205305,3,1935.9800378579455,7.768300174762956,-0.15000000000000002,-0.0,0.0,0.8895692154765129
3,-14961.525244707189,-15031.226453341293,0.9960079893439915,12000,31,64.02702240252884,3,1935.972977597474,7.771644757288735,-0.15000000000000002,-0.0,0.0,0.8560320234298706
4,-15292.965063026844,-15083.574175278403,0.9950124791926823,15000,26,64.00322962106739,3,1935.996770378929,7.780531216441778,-0.15000000000000002,-0.0,0.0,0.8352326261997223
5,-15490.749642469453,-15151.436753143578,0.9940179640539353,18000,21,63.993829881676234,3,1936.0061701183217,7.761989263935421,-0.15000000000000002,-0.0,0.0,0.7987318943440914
6,-14739.14673312603,-15092.538178855359,0.9930244429332351,21000,21,63.990310849690665,3,1936.009689150314,7.767334755700478,-0.15000000000000002,-0.0,0.0,0.8039376677572727
7,-15128.806919772567,-15097.071771470008,0.9920319148370607,24000,20,63.99267511006768,3,1936.0073248899369,7.767742710476061,-0.15000000000000002,-0.0,0.0,0.7458878636360169
8,-15028.302478059635,-15089.430738868854,0.9910403787728838,27000,21,63.98846632863621,3,1936.011533671367,7.758956569652572,-0.15000000000000002,-0.0,0.0,0.7337503607571125
9,-14945.135560847673,-15075.001221066737,0.9900498337491682,30000,31,64.01865858904347,3,1935.981341410955,7.759800276383427,-0.15000000000000002,-0.0,0.0,0.7376820835471153
10,-14465.122848087316,-15000.792354531626,0.9890602787753688,33000,21,63.98917189125447,3,1936.010828108748,7.768245582124962,-0.15000000000000002,-0.0,0.0,0.7179610088467598
