episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,dynamic_tsla,replication_state
0,4946.928615782457,4946.928615782457,0.99981,1458,5,3.3710289241513642,6,56.62897107584868,6.792929957277918,-0.06,-0.0,0.0,200.0,BALANCED
1,3629.9154295788458,4288.422022680652,0.99962,1458,9,12.230161950589256,12,47.7698380494107,5.85878067831998,-0.12,-0.0,0.0,400.0,BALANCED
2,4920.192826141736,4499.012290501013,0.99943,1458,6,3.362207858490926,6,56.63779214150906,6.774602230890685,-0.06,-0.0,0.0,200.0,BALANCED
3,3708.794605965101,4301.4578693670355,0.99924,1458,5,12.121294224327045,12,47.87870577567301,5.689153366779861,-0.12,-0.0,0.0,400.0,BALANCED
4,4906.2733188273305,4422.420959259094,0.99905,1458,1,3.3524102136881795,6,56.64758978631184,6.882378139880132,-0.06,-0.0,0.0,200.0,BALANCED
5,3808.151017580413,4320.042635645981,0.99886,1458,7,12.139403466536036,12,47.860596533463955,5.397029137464978,-0.12,-0.0,0.0,400.0,BALANCED
6,4995.42281614432,4416.525518574315,0.99867,1458,2,3.350752831934904,6,56.64924716806514,6.826464952137692,-0.06,-0.0,0.0,200.0,BALANCED
7,3638.8085482665256,4319.310897285841,0.99848,1458,8,12.250263613836827,12,47.74973638616317,5.583914154489095,-0.12,-0.0,0.0,400.0,BALANCED
8,4947.204388315959,4389.076840733632,0.99829,1458,7,3.3918591871407404,6,56.60814081285924,6.914240860322169,-0.06,-0.0,0.0,200.0,BALANCED
9,3598.7725544275117,4310.046412103019,0.9981,1458,7,12.21041285602435,12,47.78958714397568,5.864789924771193,-0.12,-0.0,0.0,400.0,BALANCED
10,5078.214103358673,4323.174960860641,0.99791,1458,3,3.3604841213515497,6,56.639515878648425,6.861913135186942,-0.06,-0.0,0.0,200.0,BALANCED
11,3522.869425559413,4312.4703604586975,0.99772,1458,11,12.281185129783614,12,47.71881487021634,5.5851626133427335,-0.12,-0.0,0.0,400.0,BALANCED
12,5044.533538605883,4324.904431705113,0.99753,1458,2,3.3489584767204756,6,56.651041523279595,6.949689043371774,-0.06,-0.0,0.0,200.0,BALANCED
13,3898.5886088817842,4343.883831996782,0.99734,1458,4,12.113624371778029,12,47.88637562822215,5.893038383916116,-0.12,-0.0,0.0,400.0,BALANCED
14,5003.167209653695,4353.573221079418,0.99715,1458,1,3.347355410879786,6,56.65264458912009,6.951361317789512,-0.06,-0.0,0.0,200.0,BALANCED
15,3781.511068594932,4350.90922618087,0.99696,1458,6,12.14830664495791,12,47.85169335504207,5.62341107237552,-0.12,-0.0,0.0,400.0,BALANCED
16,5092.017135541231,4360.568658120561,0.99677,1458,0,3.3396097660856308,6,56.660390233914306,6.774137225974286,-0.06,-0.0,0.0,200.0,BALANCED
17,3798.2875125807595,4376.516554551984,0.99658,1458,8,12.188375887317115,12,47.81162411268295,5.304286842658305,-0.12,-0.0,0.0,400.0,BALANCED
18,5005.557345705281,4382.351850290916,0.99639,1458,2,3.3594087004294826,6,56.6405912995704,6.755809500615236,-0.06,-0.0,0.0,200.0,BALANCED
19,3634.92165338534,4385.966760186699,0.9962,1458,9,12.253298161097828,12,47.74670183890211,5.634659531520063,-0.12,-0.0,0.0,400.0,BALANCED
20,4961.691361323709,4374.314485983204,0.99601,1458,2,3.347901055678239,6,56.6520989443218,6.843585408800066,-0.06,-0.0,0.0,200.0,BALANCED
21,3799.5712556091257,4401.984668988173,0.99582,1458,6,12.172857403199545,12,47.82714259680061,5.315535301802847,-0.12,-0.0,0.0,400.0,BALANCED
22,5013.349124791518,4398.866227606737,0.99563,1458,0,3.3457943060033513,6,56.65420569399664,6.848843145601503,-0.06,-0.0,0.0,200.0,BALANCED
23,3690.8162867760816,4378.088995396168,0.99544,1458,5,12.190671803503056,12,47.80932819649686,5.7718956615862025,-0.12,-0.0,0.0,400.0,BALANCED
24,4945.627166090163,4372.334991039814,0.99525,1458,3,3.352790661209191,6,56.64720933879081,7.005619054814513,-0.06,-0.0,0.0,200.0,BALANCED
25,3660.8980654723923,4360.273690727559,0.9950600000000001,1458,8,12.214451045368715,12,47.7855489546312,5.47977143175723,-0.12,-0.0,0.0,400.0,BALANCED
26,5099.652457452735,4361.0372229187105,0.99487,1458,1,3.351763595432879,6,56.64823640456722,6.953291328427591,-0.06,-0.0,0.0,200.0,BALANCED
27,3668.9867098194636,4348.1071426425815,0.99468,1458,5,12.156523319085041,12,47.84347668091496,6.310144120328671,-0.12,-0.0,0.0,400.0,BALANCED
28,4928.607443843908,4340.412152456444,0.99449,1458,3,3.3694699506687646,6,56.63053004933122,6.741067237416718,-0.06,-0.0,0.0,200.0,BALANCED
29,3685.1524388761363,4345.435231005524,0.9943,1458,5,12.153842560843449,12,47.84615743915655,5.491019891013532,-0.12,-0.0,0.0,400.0,BALANCED
