episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,dynamic_min_popularity,replication_state
0,3252.4510741664353,3252.4510741664353,1000,0.06935121864080429,49,3.832728924151361,6,56.167271075848724,6.792929957277918,-0.06,-0.0,0.0,0.0,200.0,0.3,BALANCED
1,2162.289484407628,2707.3702792870317,2000,0.06861760374158621,64,13.308361950589253,12,46.69163804941073,5.85878067831998,-0.12,-0.0,0.0,1.8694457453489304,400.0,0.3,BALANCED
2,2228.523566202828,2547.754708258964,3000,0.06610573548823595,279,4.850807858490916,2,55.14919214150909,6.375957562798522,-0.02,-0.0,0.0,1.470860621035099,178.0,0.26699999999999996,BALANCED
3,4188.4199964021045,2957.921030294749,4000,0.0640449682250619,99,14.31504422432703,6,45.68495577567299,5.689153366779861,-0.06,-0.0,0.0,0.9248392802476882,400.0,0.3,BALANCED
4,5648.620906215127,3496.0610054788244,5000,0.06273251492530107,61,3.8123102136881806,2,56.18768978631183,6.802439117825777,-0.02,-0.0,0.0,0.3032164683938026,195.0,0.2925,BALANCED
5,4901.557714087793,3730.3104569136526,6000,0.061950272880494595,63,13.242803466536042,9,46.757196533464004,5.397029137464978,-0.09,-0.0,0.0,0.23640533216297627,400.0,0.3,BALANCED
6,6286.666280194093,4095.504145953716,7000,0.061275688000023365,50,3.798502831934899,2,56.201497168065096,6.826464952137692,-0.02,-0.0,0.0,0.25341919872909785,200.0,0.3,BALANCED
7,4906.295670685927,4196.853086545242,8000,0.06066610570997,63,13.255113613836828,8,46.74488638616317,5.583914154489095,-0.08,-0.0,0.0,0.22363084798678756,400.0,0.3,BALANCED
8,6345.686084269648,4435.612308514621,9000,0.06009865179657936,48,3.8112591871407395,2,56.188740812859216,6.914240860322169,-0.02,-0.0,0.0,0.23499669272452592,200.0,0.3,BALANCED
9,4921.465431890216,4484.19762085218,10000,0.05957572069019079,63,13.269712856024372,6,46.73028714397575,5.864789924771193,-0.06,-0.0,0.0,0.24233844246715308,400.0,0.3,BALANCED
10,6350.822947797688,4794.034808215305,11000,0.0591187234967947,50,3.8082341213515516,2,56.191765878648425,6.861913135186942,-0.02,-0.0,0.0,0.23159868367016315,200.0,0.3,BALANCED
