episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,dynamic_min_popularity,replication_state
0,4415.768651083973,4415.768651083973,1000,0.06093749962747097,48,3.832597496287712,6,56.16740250371225,6.886284266562706,-0.06,-0.0,0.0,0.0,200.0,0.3,BALANCED
1,4141.798338711445,4278.783494897709,2000,0.060073805041611195,63,13.295841413609958,12,46.704158586389866,5.3284839744517996,-0.12,-0.0,0.0,1.7822150111198425,400.0,0.3,BALANCED
2,5114.947938522064,4557.504976105827,3000,0.057877362705767155,180,4.55899985163088,2,55.44100014836916,6.9740601755522,-0.02,-0.0,0.0,1.244538769721985,200.0,0.3,BALANCED
3,4153.405006578326,4456.479983723952,4000,0.05622485186904669,63,14.330243687240444,5,45.6697563127595,6.158856662911481,-0.05,-0.0,0.0,0.7006183958053589,400.0,0.3,BALANCED
4,6327.975675332167,4830.779122045595,5000,0.055107833817601204,48,3.8169847857386903,3,56.18301521426125,6.921732449388795,-0.03,-0.0,0.0,0.452938276976347,200.0,0.3,BALANCED
5,4745.8553302548125,4816.625156747131,6000,0.054131015203893185,63,13.2639429294709,12,46.73605707052916,5.366732433596343,-0.12,-0.0,0.0,0.4169861829280853,400.0,0.3,BALANCED
6,6325.533553965885,5032.1834992069535,7000,0.05324080213904381,43,3.8215331410647004,4,56.178466858935366,6.7445083583778755,-0.04,-0.0,0.0,0.3741636949777603,200.0,0.3,BALANCED
7,4692.58454655965,4989.73363012604,8000,0.052419393323361874,63,13.262895202650792,12,46.7371047973492,5.697105121654149,-0.12,-0.0,0.0,0.37345931559801104,400.0,0.3,BALANCED
8,6333.983310949545,5139.094705773096,9000,0.051668908447027206,48,3.819084075185391,4,56.18091592481463,7.026180632214527,-0.04,-0.0,0.0,0.34284123599529265,200.0,0.3,BALANCED
9,4817.462519847228,5106.931487180509,10000,0.05097165051847696,63,13.288204445610809,12,46.71179555438915,5.377980892629127,-0.12,-0.0,0.0,0.32480607386678456,400.0,0.3,BALANCED
10,6348.071094598877,5300.161731532,11000,0.050322430208325386,45,3.8143444305972234,3,56.18565556940275,6.833956541203962,-0.03,-0.0,0.0,0.30554127812385556,200.0,0.3,BALANCED
11,4732.253405414775,5359.2072382023325,12000,0.04971363674849272,64,13.277436718962361,11,46.72256328103766,5.698353580686602,-0.11,-0.0,0.0,0.2753851882368326,400.0,0.3,BALANCED
12,6338.081016158999,5481.5205459660265,13000,0.04918195866048336,46,3.817655364859532,3,56.182344635140545,6.83562881481704,-0.03,-0.0,0.0,0.2771135947853327,200.0,0.3,BALANCED
13,4856.1616991754045,5551.796215225734,14000,0.048685330897569656,63,13.272415961021157,8,46.72758403897894,5.389229351371339,-0.08,-0.0,0.0,0.2542718042433262,400.0,0.3,BALANCED
14,6345.528986328177,5553.551546325336,15000,0.048217589035630226,46,3.813671719996715,3,56.18632828000339,7.923404723806335,-0.03,-0.0,0.0,0.247107298001647,200.0,0.3,BALANCED
15,4896.0056523987205,5568.566578539727,16000,0.04778196569532156,63,13.273836108600891,8,46.726163891399004,5.593114368619353,-0.08,-0.0,0.0,0.244763193577528,400.0,0.3,BALANCED
16,6303.332299426212,5566.346453085759,17000,0.04739314131438732,54,3.814012338277762,3,56.185987661722294,6.867491535482593,-0.03,-0.0,0.0,0.2436531175673008,200.0,0.3,BALANCED
17,4895.167184916422,5586.604716921435,18000,0.047029112465679646,63,13.251355350359294,8,46.748644649640795,5.883990138678266,-0.08,-0.0,0.0,0.22831221535801888,400.0,0.3,BALANCED
18,6327.756422136994,5585.982028040181,19000,0.04670363664627075,51,3.8163646935351005,3,56.18363530646488,6.955267444472087,-0.03,-0.0,0.0,0.24993212725967168,200.0,0.3,BALANCED
19,4935.3695198135465,5597.7727280368135,20000,0.04638513457030058,63,13.257057624268729,6,46.74294237573131,5.6043628272498065,-0.06,-0.0,0.0,0.22746593691408634,400.0,0.3,BALANCED
20,6346.4535828489525,5597.610976861821,21000,0.04610504023730755,47,3.812475627810285,3,56.18752437218979,7.902939718308483,-0.03,-0.0,0.0,0.2158372538909316,200.0,0.3,BALANCED
21,4941.1143545930845,5618.497071779651,22000,0.04584466107189655,63,13.24933686652064,6,46.7506631334794,5.285238597934212,-0.06,-0.0,0.0,0.21333844698965548,400.0,0.3,BALANCED
22,6348.293027136028,5619.518272877354,23000,0.045597709715366364,49,3.8129199830161284,2,56.18708001698379,7.005715627297819,-0.02,-0.0,0.0,0.23468355752527714,200.0,0.3,BALANCED
23,4921.085037253145,5626.010606685129,24000,0.045386034063994884,63,13.246849139614707,6,46.75315086038547,5.615611286394349,-0.06,-0.0,0.0,0.21435702964663506,400.0,0.3,BALANCED
24,6310.707070181709,5622.528415070481,25000,0.0451963534578681,53,3.8200469172569878,4,56.179953082743,6.992387900910897,-0.04,-0.0,0.0,0.21389347404241563,200.0,0.3,BALANCED
25,4924.4572899150235,5625.373578822111,26000,0.04502519592642784,63,13.259198382553242,6,46.740801617446856,5.56348705656837,-0.06,-0.0,0.0,0.20587434187531473,400.0,0.3,BALANCED
26,6343.051292524135,5629.345478131904,27000,0.044873024336993694,45,3.806775272561527,2,56.19322472743847,6.8151638099003335,-0.02,-0.0,0.0,0.2039059116691351,200.0,0.3,BALANCED
27,4921.566502001059,5631.9854098403675,28000,0.04473928827792406,63,13.259590656312497,6,46.74040934368753,5.646359745427134,-0.06,-0.0,0.0,0.20248807225376367,400.0,0.3,BALANCED
28,6350.169233342141,5634.2266909608825,29000,0.04462388623505831,43,3.8121022068109682,2,56.18789779318891,6.796836083736974,-0.02,-0.0,0.0,0.205747344866395,200.0,0.3,BALANCED
29,4926.763374526613,5633.3660764321885,30000,0.04451789893209934,63,13.22297989819963,6,46.77702010180038,5.334735515709209,-0.06,-0.0,0.0,0.2127672825753689,400.0,0.3,BALANCED
30,6335.51502971677,5632.272221118971,31000,0.04443180561065674,50,3.8078305621240975,2,56.19216943787584,6.904611992726066,-0.02,-0.0,0.0,0.18514018833637239,200.0,0.3,BALANCED
31,4937.3712533602775,5631.897910995691,32000,0.04435996897518635,63,13.264824298095434,6,46.735175701904595,5.611095875604742,-0.06,-0.0,0.0,0.1951881068199873,400.0,0.3,BALANCED
32,6348.4378377549765,5631.912392057585,33000,0.044300492852926254,49,3.8089278122818353,2,56.19107218771825,7.889869728723042,-0.02,-0.0,0.0,0.208434399664402,200.0,0.3,BALANCED
33,4947.877163833414,5634.5916047156115,34000,0.04425031319260597,63,13.240993540197172,5,46.759006459802904,5.471971645887109,-0.05,-0.0,0.0,0.20307058535516262,400.0,0.3,BALANCED
34,6375.007543985295,5641.021652095971,35000,0.0442108316347003,41,3.8098401675220113,2,56.19015983247802,7.046645637131235,-0.02,-0.0,0.0,0.19834409341216086,200.0,0.3,BALANCED
35,4945.9698473327635,5643.172907837745,36000,0.04418167006224394,63,13.23868581333415,6,46.761314186665786,5.802344334235487,-0.06,-0.0,0.0,0.20522663697600366,400.0,0.3,BALANCED
36,6346.093898678808,5643.477168453212,37000,0.044158922508358955,54,3.809407101814364,2,56.19059289818563,6.9943179115489755,-0.02,-0.0,0.0,0.18773069623857735,200.0,0.3,BALANCED
37,4959.407642318259,5647.261282484932,38000,0.044143286533653736,63,13.233575055693334,5,46.76642494430661,6.010220104920149,-0.05,-0.0,0.0,0.18733971618115902,400.0,0.3,BALANCED
38,6360.352206452816,5648.279579796,39000,0.04413243941962719,49,3.808879457054542,2,56.19112054294548,6.782093819733794,-0.02,-0.0,0.0,0.19223550267517567,200.0,0.3,BALANCED
39,4948.649662148579,5650.468208558195,40000,0.04412481840699911,63,13.25124732966715,5,46.748752670332884,6.330592793379955,-0.05,-0.0,0.0,0.1762247196212411,400.0,0.3,BALANCED
