episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action
0,5514.650478194551,5514.650478194551,0.99981,729,8,3.426828924151364,6,56.57317107584868,7.771050970094255,-0.06,-0.0,0.0
1,5628.8385046688945,5571.744491431723,0.99962,729,0,3.3648847466214042,6,56.63511525337859,7.770079401791515,-0.06,-0.0,0.0
2,5475.468538958717,5539.652507274054,0.99943,729,2,3.372107858490926,6,56.627892141509065,7.764573170551766,-0.06,-0.0,0.0
3,5865.383978455575,5621.085375069434,0.99924,729,1,3.3632996809352105,6,56.63670031906481,7.76625678824356,-0.06,-0.0,0.0
4,5521.738692387811,5601.21603853311,0.99905,729,7,3.468060213688181,6,56.53193978631182,7.771705934761377,-0.06,-0.0,0.0
