episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action
0,-15741.295552164478,-15741.295552164478,0.99981,243,25,64.0004365791431,3,1935.9995634208608,7.7671932992361565,-0.15000000000000002,-0.0,0.0
1,-15275.30590935506,-15508.300730759769,0.99962,243,23,63.997460839803445,3,1936.0025391601912,7.76671295493275,-0.15000000000000002,-0.0,0.0
2,-15396.302500130007,-15470.967987216514,0.99943,243,25,64.01036214205304,3,1935.9896378579451,7.768300174762956,-0.15000000000000002,-0.0,0.0
3,-15323.304211308161,-15434.052043239426,0.99924,243,23,64.00552240252884,3,1935.9944775974739,7.771644757288735,-0.15000000000000002,-0.0,0.0
4,-14881.57249942599,-15323.55613447674,0.99905,243,25,63.998629621067394,3,1936.0013703789293,7.780531216441778,-0.15000000000000002,-0.0,0.0
5,-15755.153804647478,-15395.489079505196,0.99886,243,19,63.98902988167623,3,1936.010970118322,7.761989263935421,-0.15000000000000002,-0.0,0.0
6,-15650.527851506464,-15431.92318979109,0.99867,243,25,64.00311084969067,3,1935.9968891503138,7.767334755700478,-0.15000000000000002,-0.0,0.0
7,-15976.326369663811,-15499.97358727518,0.99848,243,24,64.00547511006768,3,1935.9945248899369,7.767742710476061,-0.15000000000000002,-0.0,0.0
8,-15545.805221160803,-15505.065991040252,0.99829,243,21,63.98686632863621,3,1936.013133671367,7.758956569652572,-0.15000000000000002,-0.0,0.0
9,-15158.687935118258,-15470.42818544805,0.9981,243,25,64.00835858904347,3,1935.9916414109553,7.759800276383427,-0.15000000000000002,-0.0,0.0
10,-15338.177084539137,-15430.116338685515,0.99791,243,23,63.99487189125446,3,1936.005128108748,7.768245582124962,-0.15000000000000002,-0.0,0.0
11,-14679.746621936387,-15370.56040994365,0.99772,243,22,63.99548015173005,3,1936.0045198482683,7.76090715222315,-0.15000000000000002,-0.0,0.0
12,-15754.901350596294,-15406.42029499028,0.99753,243,23,63.99830337046613,3,1936.0016966295404,7.76560371458492,-0.15000000000000002,-0.0,0.0
13,-15529.308113108707,-15427.020685170331,0.99734,243,21,63.990307631135146,3,1936.0096923688668,7.761000138035938,-0.15000000000000002,-0.0,0.0
14,-14822.468768203758,-15421.110312048108,0.99715,243,25,63.98875293327305,3,1936.011247066726,7.766710590268183,-0.15000000000000002,-0.0,0.0
15,-15301.246190412041,-15375.719550624563,0.99696,243,20,63.98135319368445,3,1936.018646806316,7.762205417207784,-0.15000000000000002,-0.0,0.0
16,-15348.382194159269,-15345.504984889843,0.99677,243,22,63.984468412300295,3,1936.0155315877043,7.769786279172352,-0.15000000000000002,-0.0,0.0
17,-15051.952254680078,-15253.067573391472,0.99658,243,22,64.00093267274163,3,1935.9990673272553,7.774814992592427,-0.15000000000000002,-0.0,0.0
18,-15508.469966321922,-15249.334047907585,0.99639,243,24,63.99503397495713,3,1936.0049660250431,7.776858560568991,-0.15000000000000002,-0.0,0.0
19,-15598.780150187684,-15293.343269414527,0.9962,243,27,64.0049782352953,3,1935.9950217647056,7.761993285173907,-0.15000000000000002,-0.0,0.0
20,-15925.175717116224,-15352.043132672237,0.99601,243,26,64.00896145406145,3,1935.9910385459382,7.773177384480947,-0.15000000000000002,-0.0,0.0
21,-14881.695818552334,-15372.23805233383,0.99582,243,22,63.991485714528466,3,1936.0085142854741,7.756849351190845,-0.15000000000000002,-0.0,0.0
22,-15005.776771576118,-15297.325594431813,0.99563,243,20,63.97913135081164,3,1936.0208686491928,7.759612129533259,-0.15000000000000002,-0.0,0.0
23,-15551.329638636866,-15299.52774698463,0.99544,243,20,63.98785961115441,3,1936.0121403888509,7.780220962275026,-0.15000000000000002,-0.0,0.0
24,-16048.95112839722,-15422.175983003977,0.99525,243,30,64.02023482990319,3,1935.9797651700912,7.754468195706661,-0.15000000000000002,-0.0,0.0
25,-15571.291734150487,-15449.180537377822,0.9950600000000001,243,22,63.99513509030139,3,1936.0048649096957,7.775940162823361,-0.15000000000000002,-0.0,0.0
26,-15687.133770555554,-15483.055695017447,0.99487,243,27,64.00151239256428,3,1935.9984876074375,7.759399998062646,-0.15000000000000002,-0.0,0.0
27,-15519.564296751307,-15529.816899224572,0.99468,243,27,64.0032966528511,3,1935.9967033471512,7.756235816831516,-0.15000000000000002,-0.0,0.0
28,-14468.957036194337,-15425.865606211813,0.99449,243,22,63.985939871694406,3,1936.0140601283051,7.757658718298637,-0.15000000000000002,-0.0,0.0
29,-15107.727397870369,-15376.76033098008,0.9943,243,23,64.00259213220853,3,1935.9974078677883,7.773478389834904,-0.15000000000000002,-0.0,0.0
30,-15579.059771096625,-15342.148736378123,0.99411,243,22,64.00538943439403,3,1935.9946105656113,7.758765593825436,-0.15000000000000002,-0.0,0.0
31,-15790.608165979529,-15433.039971120841,0.99392,243,26,64.00111369490853,3,1935.9988863050912,7.776800073705752,-0.15000000000000002,-0.0,0.0
32,-15270.773296860181,-15459.539623649249,0.99373,243,26,63.99814491339962,3,1936.0018550866007,7.764543931482443,-0.15000000000000002,-0.0,0.0
33,-14233.309279342602,-15327.737587719821,0.99354,243,31,64.01071317388408,3,1935.9892868261156,7.786015898755605,-0.15000000000000002,-0.0,0.0
34,-14791.86730247559,-15202.029205127657,0.99335,243,28,64.01839847619812,3,1935.9816015238002,7.7694757339948906,-0.15000000000000002,-0.0,0.0
35,-15082.457327086619,-15153.145764421273,0.99316,243,24,64.00105873681564,3,1935.9989412631808,7.756565525224768,-0.15000000000000002,-0.0,0.0
36,-15167.30764319881,-15101.163151685596,0.99297,243,20,63.98277395506649,3,1936.0172260449317,7.7643317994485646,-0.15000000000000002,-0.0,0.0
37,-15952.2367418132,-15144.430396191785,0.99278,243,21,63.984878215739606,3,1936.0151217842636,7.764569031463666,-0.15000000000000002,-0.0,0.0
38,-15388.091389892597,-15236.343831561611,0.99259,243,26,64.00077918397315,3,1935.999220816027,7.764032831911985,-0.15000000000000002,-0.0,0.0
39,-15384.04147027493,-15263.975238802068,0.9924,243,19,63.996275444264185,3,1936.0037245557373,7.76187257128563,-0.15000000000000002,-0.0,0.0
40,-15257.683247199542,-15231.83758641236,0.99221,243,21,63.986846662939996,3,1936.0131533370547,7.770775404352108,-0.15000000000000002,-0.0,0.0
41,-15286.110810889892,-15181.387850903397,0.99202,243,21,63.988502923278396,3,1936.0114970767254,7.7662886907085324,-0.15000000000000002,-0.0,0.0
42,-14764.378148894228,-15130.7483361068,0.99183,243,22,63.997532225691415,3,1936.0024677743088,7.757176008767397,-0.15000000000000002,-0.0,0.0
43,-15242.779467865419,-15231.695354959083,0.99164,243,21,63.99014448597804,3,1936.009855514023,7.771220493220979,-0.15000000000000002,-0.0,0.0
44,-15086.427830041794,-15261.1514077157,0.99145,243,20,63.98871570458132,3,1936.0112842954195,7.769407050446219,-0.15000000000000002,-0.0,0.0
45,-15245.613794980463,-15277.467054505087,0.99126,243,27,63.99892396494089,3,1936.0010760350588,7.762318972328672,-0.15000000000000002,-0.0,0.0
46,-15161.374780472152,-15276.873768232423,0.99107,243,25,63.99752526734091,3,1936.0024747326618,7.764362540305237,-0.15000000000000002,-0.0,0.0
47,-14745.73169363952,-15156.223263415053,0.99088,243,28,64.00776152782936,3,1935.9922384721763,7.771008361187102,-0.15000000000000002,-0.0,0.0
48,-15377.58519927873,-15155.172644353665,0.99069,243,18,63.9881287463981,3,1936.0118712536025,7.771105113465087,-0.15000000000000002,-0.0,0.0
49,-15655.788154242822,-15182.347312750455,0.9905,243,28,64.0101610069081,3,1935.9898389930972,7.762979446812429,-0.15000000000000002,-0.0,0.0
50,-16272.610786018337,-15283.840066632334,0.99031,243,25,64.00967030906342,3,1935.9903296909356,7.7598242617236,-0.15000000000000002,-0.0,0.0
51,-15338.687808843488,-15289.097766427692,0.99012,243,29,64.00499056945331,3,1935.9950094305489,7.755906108438264,-0.15000000000000002,-0.0,0.0
52,-15527.416972663716,-15365.401648804644,0.98993,243,30,64.01727778824494,3,1935.9827222117558,7.768782884450659,-0.15000000000000002,-0.0,0.0
53,-14579.591624973315,-15299.082864515434,0.98974,243,21,63.98928604863493,3,1936.0107139513636,7.7626486807219255,-0.15000000000000002,-0.0,0.0
54,-14706.054625308207,-15261.045544042074,0.98955,243,24,64.00301168495236,3,1935.996988315051,7.766011083710951,-0.15000000000000002,-0.0,0.0
55,-14700.974681957683,-15206.581632739797,0.98936,243,21,63.99851994547963,3,1936.0014800545136,7.753927575406148,-0.15000000000000002,-0.0,0.0
56,-15535.451805189026,-15243.989335211483,0.98917,243,24,63.9957391641984,3,1936.004260835801,7.773771139529516,-0.15000000000000002,-0.0,0.0
57,-15542.100808455074,-15323.62624669304,0.98898,243,20,63.989863424794336,3,1936.010136575206,7.757443106239414,-0.15000000000000002,-0.0,0.0
58,-15546.879182030307,-15340.555644968195,0.98879,243,23,63.99015672670484,3,1936.0098432732964,7.759731013607642,-0.15000000000000002,-0.0,0.0
59,-15637.132745395791,-15338.690104083493,0.9886,243,23,63.99604898728371,3,1936.0039510127199,7.762374908032136,-0.15000000000000002,-0.0,0.0
