episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,dynamic_tsla,dynamic_min_popularity
0,3499.7870980809726,3499.7870980809726,0.99981,1458,143,4.573878924151367,6,55.42612107584875,6.121549928796071,-0.06,-0.0,0.0,120.0,0.0
1,1721.824102656837,2610.805600368905,0.99962,1458,156,15.046711950589255,12,44.95328804941078,3.5813011305339506,-0.12,-0.0,0.0,240.0,0.0
2,3357.594668065443,2859.735289601084,0.99943,1458,190,4.978157858490916,6,55.02184214150907,6.157670384817788,-0.06,-0.0,0.0,120.0,0.0
3,1852.4162668151303,2607.9055339045954,0.99924,1458,188,15.650644224327037,12,44.349355775673004,4.8485889446331,-0.12,-0.0,0.0,240.0,0.0
4,3401.702029998983,2766.664833123473,0.99905,1458,189,4.968360213688176,6,55.031639786311814,6.1372968998000745,-0.06,-0.0,0.0,120.0,0.0
5,2068.6172331945672,2650.3235664686554,0.99886,1458,194,15.693053466536039,12,44.306946533463964,3.6450485624415228,-0.12,-0.0,0.0,240.0,0.0
6,3761.5912795656736,2809.0760969110866,0.99867,1458,149,4.638652831934903,6,55.36134716806507,6.177441586895696,-0.06,-0.0,0.0,120.0,0.0
7,1806.4824209899637,2683.7518874209463,0.99848,1458,189,15.65946361383683,12,44.340536386163166,3.8898569241485403,-0.12,-0.0,0.0,240.0,0.0
8,3046.7064041832077,2724.0801670611977,0.99829,1458,191,4.9713591871407505,6,55.02864081285922,6.157068100536877,-0.06,-0.0,0.0,120.0,0.0
9,1653.6388118551824,2617.0360315405965,0.9981,1458,216,16.186612856024393,12,43.81338714397574,4.6996768073405555,-0.12,-0.0,0.0,260.0,0.0
10,3532.9956166422326,2620.356883396722,0.99791,1458,155,4.656484121351553,6,55.34351587864843,6.1031885586447565,-0.06,-0.0,0.0,120.0,0.0
11,2151.540471340234,2663.328520265062,0.99772,1458,184,15.614785129783606,12,44.38521487021633,4.3617886359119415,-0.12,-0.0,0.0,260.0,0.0
12,3545.33153074758,2682.1022065332754,0.99753,1458,163,4.798858476720476,6,55.20114152327954,6.082815072285939,-0.06,-0.0,0.0,120.0,0.0
13,1770.252912802256,2673.885871131988,0.99734,1458,189,15.652874371778042,12,44.347125628222074,4.321730639859841,-0.12,-0.0,0.0,240.0,0.0
14,3305.9706733949497,2664.312735471585,0.99715,1458,189,4.967355410879782,6,55.03264458912019,6.11893552964876,-0.06,-0.0,0.0,120.0,0.0
15,1904.1659830864612,2647.867610460774,0.99696,1458,170,15.30055664495791,12,44.69944335504212,3.9556851206259114,-0.12,-0.0,0.0,240.0,0.0
16,3546.375468870012,2626.346029391208,0.99677,1458,149,4.635609766085625,6,55.36439023391432,6.123562043289942,-0.06,-0.0,0.0,120.0,0.0
17,1933.783836579709,2639.0761709501826,0.99658,1458,163,15.209675887317117,12,44.79032411268297,3.5238114044303224,-0.12,-0.0,0.0,240.0,0.0
18,3366.859806986079,2671.0915112304697,0.99639,1458,175,4.817408700429475,6,55.182591299570376,6.1596825010252925,-0.06,-0.0,0.0,120.0,0.0
19,1929.9423381694728,2698.7218638618983,0.9962,1458,186,15.632798161097805,12,44.36720183890213,3.957765885867449,-0.12,-0.0,0.0,240.0,0.0
20,3583.2070497941663,2703.743007177092,0.99601,1458,151,4.635801055678238,6,55.36419894432178,6.139309014666474,-0.06,-0.0,0.0,120.0,0.0
21,1560.501255833971,2644.6390856264657,0.99582,1458,171,15.322407403199552,12,44.67759259680062,4.359225503004433,-0.12,-0.0,0.0,240.0,0.0
22,3519.7796401689448,2642.083896568602,0.99563,1458,149,4.641794306003345,6,55.35820569399666,6.081405242669025,-0.06,-0.0,0.0,120.0,0.0
23,1635.2216744824814,2628.5807727366246,0.99544,1458,171,15.265971803503051,12,44.734028196496865,4.386492769368577,-0.12,-0.0,0.0,240.0,0.0
24,3240.199849199181,2622.0036903170476,0.99525,1458,152,4.656890661209195,6,55.34310933879079,6.17603175802384,-0.06,-0.0,0.0,120.0,0.0
25,1197.8482445424825,2551.37191646265,0.9950600000000001,1458,195,15.754601045368718,12,44.24539895463118,3.766285719594722,-0.12,-0.0,0.0,240.0,0.0
26,3332.690814890213,2530.00345106467,0.99487,1458,165,4.8097635954328855,6,55.1902364045672,6.122152214045558,-0.06,-0.0,0.0,120.0,0.0
27,1918.333968746229,2528.458464281322,0.99468,1458,168,15.277723319085041,12,44.72227668091498,4.20024020054756,-0.12,-0.0,0.0,240.0,0.0
28,3643.98310499668,2556.170794082382,0.99449,1458,144,4.588519950668765,6,55.41148004933118,6.101778729027842,-0.06,-0.0,0.0,120.0,0.0
29,1809.6971939383636,2544.146279659271,0.9943,1458,157,15.07254256084345,12,44.92745743915655,3.768366485022523,-0.12,-0.0,0.0,240.0,0.0
