episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,dynamic_tsla,dynamic_min_popularity,replication_state
0,-54.51616245435479,-54.51616245435479,0.99981,729,39,0.5709377810483318,0,59.429062218951685,0.0,-0.0,-2.344700831618529,0.0,200.0,0.3,BALANCED
1,-54.07745211554701,-54.2968072849509,0.99962,729,38,0.5710051646984028,0,59.42899483530159,0.0,-0.0,-1.316531443986908,0.0,200.0,0.3,BALANCED
2,-105.94543238727931,-71.5130156523937,0.99943,729,48,0.5695427035317803,0,59.43045729646821,0.0,-0.0,-1.2605172478536986,0.0,190.0,0.285,AGGRESSIVE
3,-166.81377934170743,-95.33820657472214,0.99924,729,50,0.5694303973768031,0,59.4305696026232,0.0,-0.0,-3.424767650452498,0.0,180.0,0.26999999999999996,AGGRESSIVE
4,-237.35210454565134,-123.74098616890797,0.99905,729,50,0.5702719361758485,0,59.42972806382415,0.0,-0.0,-2.125513608041101,0.0,170.0,0.25499999999999995,AGGRESSIVE
5,-306.46526070396186,-154.19503192475028,0.99886,729,49,0.5666133198173365,2,59.433386680182664,4.52103043432201,-0.02,-0.0,0.0,160.0,0.23999999999999994,AGGRESSIVE
6,-392.599791138916,-188.2528546696311,0.99867,729,49,0.555304858586341,2,59.44469514141367,4.637341801549476,-0.02,-0.0,0.0,150.0,0.22499999999999992,AGGRESSIVE
7,-462.0747160295853,-222.4805873396254,0.99848,729,45,0.5316305524785704,3,59.468369447521404,6.18417214067438,-0.03,-0.0,0.0,140.0,0.2099999999999999,AGGRESSIVE
8,-569.4867158553154,-261.03682384136874,0.99829,729,43,0.5116460912432836,3,59.48835390875672,5.076569010661206,-0.03,-0.0,0.0,130.0,0.1949999999999999,AGGRESSIVE
9,-589.3227745588893,-293.86541891312083,0.9981,729,37,0.4881874749362699,6,59.51181252506375,6.130369635704243,-0.06,-0.0,0.0,120.0,0.17999999999999988,AGGRESSIVE
10,-634.2806649238927,-351.84186916007457,0.99791,729,38,0.48035301371385764,6,59.51964698628611,4.138451900768999,-0.06,-0.0,0.0,120.0,0.16499999999999987,AGGRESSIVE
11,-591.8351816506969,-405.61764211358957,0.99772,729,32,0.4437907075760466,6,59.556209292423965,6.192196554061679,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
12,-456.6925491909393,-440.6923537939556,0.99753,729,31,0.43943024640084105,6,59.56056975359914,4.968612151118684,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
13,-628.5078240930868,-486.86175826909357,0.99734,729,39,0.4718976300552037,6,59.52810236994481,5.574365358606601,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
14,-582.1525282778603,-521.3418006423144,0.99715,729,32,0.44294916881562524,6,59.5570508311844,4.650780956632184,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
15,-593.2090270482402,-550.0161772767423,0.99696,729,33,0.447893621829342,6,59.552106378170656,4.372559827450959,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
16,-562.7837417173574,-567.0345723345865,0.99677,729,32,0.44382116061122134,6,59.556178839388785,5.790642090802067,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
17,-490.76072359780005,-569.9031730914078,0.99658,729,31,0.44041454426129223,6,59.559585455738734,6.48806196495668,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
18,-593.7168612320773,-572.3261876290841,0.99639,729,32,0.44329008307321205,6,59.556709916926785,6.596144230021426,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
19,-567.4650664696411,-570.1404168201592,0.9962,729,33,0.4472277769611502,6,59.55277222303888,6.616555549980777,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
20,-560.6403495339301,-562.7763852811629,0.99601,729,31,0.4391053156958226,6,59.56089468430416,4.626304480371125,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
21,-580.6076146883883,-561.653628584932,0.99582,729,31,0.43888469938022595,6,59.56111530061976,4.75705768785906,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
22,-594.871537232909,-575.471527389129,0.99563,729,32,0.4437762381749796,6,59.556223761824995,6.208473286629658,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
23,-578.6507944533602,-570.4858244251565,0.99544,729,32,0.44366393202429383,6,59.55633606797572,4.962217939549843,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
24,-657.9381461003119,-578.0643862074016,0.99525,729,39,0.4731434708319224,6,59.526856529168086,5.528633536979337,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
25,-602.1074310505352,-578.9542266076311,0.9950600000000001,729,34,0.45209685452061704,6,59.54790314547939,6.23438674446728,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
26,-563.8036932429446,-579.0562217601898,0.99487,729,32,0.4436863932724554,6,59.556313606727564,4.744135675826185,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
27,-645.1141430600571,-594.4915637064156,0.99468,729,38,0.4713480871518105,6,59.52865191284821,4.631213662824746,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
28,-487.97815720302447,-583.9176933035103,0.99449,729,31,0.4397896259465642,6,59.56021037405343,6.240962592842502,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
29,-610.8182856153388,-588.25301521808,0.9943,729,34,0.45171900959663536,6,59.54828099040334,4.6133824669971455,-0.06,-0.0,0.0,120.0,0.15,AGGRESSIVE
