episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action
0,5739.536682530939,5739.536682530939,0.99981,729,4,3.401628924151364,6,56.59837107584868,7.771050970094255,-0.06,-0.0,0.0
1,5590.698027812807,5665.117355171873,0.99962,729,7,3.418884746621405,6,56.58111525337859,7.770079401791515,-0.06,-0.0,0.0
2,5785.231915502576,5705.155541948774,0.99943,729,1,3.3514078584909255,6,56.64859214150907,7.764573170551766,-0.06,-0.0,0.0
3,5554.806518334504,5667.568286045207,0.99924,729,2,3.3713996809352103,6,56.6286003190648,7.76625678824356,-0.06,-0.0,0.0
4,5548.213009076057,5643.697230651376,0.99905,729,2,3.38706021368818,6,56.612939786311834,7.771705934761377,-0.06,-0.0,0.0
