episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,dynamic_tsla,dynamic_min_popularity
0,983.5280833896229,983.5280833896229,0.99981,1458,419,6.744537547981426,6,53.2554624520186,10.0,-0.06,-0.0,0.0,170.0,0.4
1,-7322.239735247449,-3169.355825928913,0.99962,1458,881,26.800185298638407,12,33.199814701361575,0.0,-0.12,-15.515042435654482,0.0,240.0,0.1
2,-5026.581945305977,-3788.431199054601,0.99943,1458,692,8.20374338296392,6,51.79625661703608,0.0,-0.06,-8.961147383092069,0.0,130.0,0.5
3,-9907.892947024442,-5318.296636047062,0.99924,1458,721,21.046109510394214,12,38.95389048960569,0.0,-0.12,-0.7203876104217999,0.0,360.0,0.5
4,914.7554352834749,-4071.686221780955,0.99905,1458,263,5.315067437923978,6,54.68493256207593,10.0,-0.06,-0.0,0.0,160.0,0.5
5,-8831.672428756792,-4865.017256276928,0.99886,1458,790,23.63337477263449,12,36.36662522736539,0.0,-0.12,-3.956865527959197,0.0,340.0,0.0
6,-2873.061269858982,-4580.452115360078,0.99867,1458,512,6.961312153061375,6,53.038687846938636,0.0,-0.06,-10.418802804907848,0.0,140.0,0.9
7,-7726.72466403214,-4973.7361839440855,0.99848,1458,638,20.912503189289048,12,39.08749681071097,0.0,-0.12,-2.7949233521317307,0.0,400.0,0.9
8,-2720.356047826302,-4723.360613264332,0.99829,1458,469,6.482872208034292,6,53.517127791965706,10.0,-0.06,-0.0,0.0,130.0,0.9
9,-8263.293235306364,-5077.353875468535,0.9981,1458,698,20.64955845223736,12,39.35044154776262,8.790400671897785,-0.12,-0.0,0.0,260.0,0.5
10,-3966.180084237565,-5572.324692231255,0.99791,1458,595,7.458094042952421,6,52.54190595704754,10.0,-0.06,-0.0,0.0,150.0,1.0
11,-9258.10707512922,-5765.911426219432,0.99772,1458,727,23.108432663800095,12,36.89156733619985,6.9420650045247,-0.12,-0.0,0.0,320.0,0.5
12,1045.6679811580298,-5158.686433573031,0.99753,1458,243,5.514652098071269,6,54.485347901928655,0.0,-0.06,-11.511407759468879,0.0,130.0,1.0
13,-8339.161692519858,-5001.813308122572,0.99734,1458,689,21.73092792625487,12,38.269072073745164,0.0,-0.12,-4.349434329817834,0.0,300.0,0.6000000000000001
14,-543.6509041631946,-5147.653942067239,0.99715,1458,329,5.929065933075205,6,54.07093406692485,0.0,-0.06,-1.7890826315079966,0.0,180.0,0.30000000000000004
15,-8960.769046977926,-5160.563603889352,0.99696,1458,691,20.808772137839057,12,39.19122786216095,4.522301073777735,-0.12,-0.0,0.0,400.0,0.6000000000000001
16,-5332.36611197152,-5406.494088100606,0.99677,1458,659,8.232507988086768,6,51.76749201191309,2.775268792693475,-0.06,-0.0,0.0,200.0,1.0
17,-7717.393112690231,-5405.560932966416,0.99658,1458,697,21.59468740029388,12,38.405312599706065,0.0,-0.12,-8.418832458884138,0.0,280.0,0.0
18,418.5391442030043,-5091.671413763485,0.99639,1458,303,5.881797822974853,6,54.11820217702514,10.0,-0.06,-0.0,0.0,140.0,0.2
19,-10129.648797059077,-5278.306969938756,0.9962,1458,760,21.124241612478837,12,38.87575838752128,0.0,-0.12,-1.671819594569599,0.0,380.0,0.7000000000000001
20,-806.7320599321458,-4962.362167508214,0.99601,1458,372,6.4580318780722425,6,53.54196812192773,10.0,-0.06,-0.0,0.0,140.0,1.0
21,-9984.244243728283,-5034.97588436812,0.99582,1458,755,21.472306875148195,12,38.527693124851794,0.0,-0.12,-10.227632315126245,0.0,280.0,0.7000000000000001
22,1410.464019657176,-4998.496280518206,0.99563,1458,266,5.579306832826883,6,54.42069316717312,10.0,-0.06,-0.0,0.0,190.0,0.9
23,-10669.365103591494,-5231.516621625369,0.99544,1458,815,21.63165688249888,12,38.368343117501254,0.0,-0.12,-1.5115604574874242,0.0,340.0,0.8
24,-3096.556930768836,-5486.807224285933,0.99525,1458,508,6.764768887885638,6,53.235231112114406,10.0,-0.06,-0.0,0.0,200.0,0.0
25,-7798.735740356997,-5370.60389362384,0.9950600000000001,1458,605,21.219132145189693,12,38.78086785481037,0.0,-0.12,-1.913537498423521,0.0,280.0,0.6000000000000001
26,-5068.969287722144,-5344.264211198903,0.99487,1458,652,7.9277307228381035,6,52.07226927716183,0.6437623573498346,-0.06,-0.0,0.0,200.0,0.8
27,-9636.957639112276,-5536.220663841107,0.99468,1458,777,22.330616357310284,12,37.66938364268964,0.0,-0.12,-7.060257777037844,0.0,280.0,0.7000000000000001
28,-5234.431089088,-6101.517687170208,0.99449,1458,670,8.189864777785273,6,51.81013522221487,0.0,-0.06,-2.7634458422364494,0.0,190.0,0.4
29,-10762.030404385256,-6164.755847902826,0.9943,1458,826,23.13048161944325,12,36.869518380556784,0.7611045795583027,-0.12,-0.0,0.0,400.0,0.2
