episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,dynamic_tsla,dynamic_min_popularity
0,243.53442236446224,243.53442236446224,0.99981,1458,117,4.2539289241513645,6,55.74607107584873,6.152929957278344,-0.06,-0.0,0.0,200.0,1.0
1,-4875.594348397266,-2316.029963016402,0.99962,1458,563,16.719811950589254,12,43.28018804941077,0.35799656777094735,-0.12,-0.0,0.0,380.0,0.1
2,-352.6134588721274,-1661.5577949683102,0.99943,1458,93,3.941357858490922,6,56.058642141509075,5.813693611774657,-0.06,-0.0,0.0,200.0,1.0
3,-4046.7273772979156,-2257.8501905507114,0.99924,1458,415,17.41464422432705,12,42.585355775673015,3.8314913693074235,-0.12,-0.0,0.0,400.0,0.8
4,-589.5815103430219,-1924.1964545091735,0.99905,1458,54,3.7371602136881803,6,56.262839786311815,6.282378139880464,-0.06,-0.0,0.0,200.0,1.0
5,-6319.761452406777,-2656.790620825441,0.99886,1458,286,18.094253466536042,12,41.905746533464004,1.2508969846452256,-0.12,-0.0,0.0,400.0,1.0
6,-1145.2825975217384,-2440.860903210626,0.99867,1458,56,3.6666528319349014,6,56.333347168065124,6.16833124319699,-0.06,-0.0,0.0,200.0,1.0
7,-6563.314424677753,-2956.1675933940173,0.99848,1458,597,17.44911361383682,12,42.55088638616316,0.0,-0.12,-3.1568159460397283,0.0,260.0,0.1
8,-740.3248510505441,-2709.9628442447424,0.99829,1458,48,3.6389091871407406,6,56.36109081285921,4.360370554342237,-0.06,-0.0,0.0,130.0,1.0
9,-6601.450802125785,-3099.111640032847,0.9981,1458,645,18.859162856024387,12,41.14083714397565,0.0,-0.12,-0.28304421359409027,0.0,380.0,0.2
10,1506.223064235268,-2972.842775845766,0.99791,1458,49,3.6520841213515505,6,56.34791587864844,5.961913135187265,-0.06,-0.0,0.0,200.0,1.0
11,-4276.2986351287245,-2912.9132045189117,0.99772,1458,456,17.958385129783593,12,42.04161487021641,0.12365204821640052,-0.12,-0.0,0.0,400.0,0.0
12,-230.58688943054645,-2900.710547574754,0.99753,1458,34,3.575758476720479,6,56.424241523279605,6.774782330360863,-0.06,-0.0,0.0,200.0,1.0
13,-2678.746159447732,-2763.9124257897356,0.99734,1458,289,16.329224371778036,12,43.67077562822195,0.8895035435693532,-0.12,-0.0,0.0,400.0,1.0
14,-5028.297277992714,-3207.784002554705,0.99715,1458,413,5.336805410879785,6,54.663194589120124,5.5351484237193365,-0.06,-0.0,0.0,150.0,0.1
15,-5490.6740617260175,-3124.875263486629,0.99696,1458,359,17.350306644957914,12,42.64969335504202,0.0,-0.12,-6.506310151271286,0.0,280.0,0.9
16,-6329.168237951508,-3643.2638275296063,0.99677,1458,709,7.137159766085636,6,52.86284023391435,0.0,-0.06,-7.705645002675889,0.0,150.0,0.30000000000000004
17,-3203.081130173842,-3307.240498079215,0.99658,1458,334,16.61817588731712,12,43.38182411268293,0.678930468601382,-0.12,-0.0,0.0,400.0,0.9
18,-4009.058316311305,-3634.113844605291,0.99639,1458,433,5.873108700429478,6,54.12689129957041,6.096193263095362,-0.06,-0.0,0.0,200.0,0.9
19,-6356.446357531455,-3609.613400145857,0.9962,1458,445,18.724298161097813,12,41.27570183890212,0.20051340306599608,-0.12,-0.0,0.0,400.0,0.9
20,1117.5085207032082,-3648.4848544990637,0.99601,1458,93,3.9356010556782395,6,56.06439894432181,6.243585408800398,-0.06,-0.0,0.0,200.0,0.9
21,-7232.835798024136,-3944.1385707886047,0.99582,1458,505,18.357207403199514,12,41.642792596800575,0.0,-0.12,-1.0685040793841205,0.0,400.0,1.0
22,-2102.4475106216264,-4131.324632907713,0.99563,1458,259,4.719194306003348,6,55.28080569399664,5.957986476738299,-0.06,-0.0,0.0,200.0,0.7000000000000001
23,-6472.70609364312,-4510.720626327252,0.99544,1458,449,18.75572180350304,12,41.24427819649696,0.017426411816680032,-0.12,-0.0,0.0,400.0,1.0
24,-521.1735707618807,-4060.0082556041684,0.99525,1458,45,3.7942406612091912,6,56.20575933879081,6.125357189084419,-0.06,-0.0,0.0,200.0,1.0
25,-2933.6582187542253,-3804.3066713069884,0.9950600000000001,1458,418,16.22755104536871,12,43.77244895463128,3.2446655275470815,-0.12,-0.0,0.0,360.0,1.0
26,1106.856160989589,-3060.70423141288,0.99487,1458,69,3.7414635954328768,6,56.25853640456721,6.373291328427522,-0.06,-0.0,0.0,200.0,1.0
27,-5699.664676149441,-3310.3625860104394,0.99468,1458,337,17.454823319085065,12,42.54517668091505,0.6977329756967765,-0.12,-0.0,0.0,400.0,0.9
