episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,dynamic_tsla,dynamic_min_popularity
0,217.46723452192913,217.46723452192913,0.99981,1458,121,4.266078924151365,6,55.733921075848734,6.152929957278344,-0.06,-0.0,0.0,200.0,1.0
1,-4658.73640154036,-2220.6345835092156,0.99962,1458,499,16.337761950589265,12,43.66223804941075,0.0,-0.12,-6.221066905884132,0.0,320.0,0.30000000000000004
2,-2999.358195499012,-2480.209120839148,0.99943,1458,263,4.695557858490927,6,55.304442141509035,0.0,-0.06,-8.176552052170516,0.0,160.0,0.9
3,-3254.0848204464155,-2673.678045740965,0.99924,1458,176,16.530394224327043,12,43.46960577567291,3.861491369307709,-0.12,-0.0,0.0,400.0,0.9
4,-1311.7666562998888,-2401.29576785275,0.99905,1458,40,3.58731021368818,6,56.412689786311816,6.282378139880464,-0.06,-0.0,0.0,200.0,1.0
5,-9460.377438602167,-3577.8093796443195,0.99886,1458,614,18.834953466536017,12,41.16504653346394,0.0,-0.12,-15.06394660267417,0.0,240.0,0.7000000000000001
6,-1784.8255301451068,-3321.6688297158607,0.99867,1458,105,3.9344028319349,6,56.065597168065096,3.6138854053283174,-0.06,-0.0,0.0,120.0,0.6000000000000001
7,-3678.96619734249,-3366.331000669189,0.99848,1458,309,15.814263613836843,12,44.18573638616315,2.104034817536885,-0.12,-0.0,0.0,400.0,0.2
8,-4704.6469564353365,-3515.0327735320943,0.99829,1458,447,5.754359187140741,6,54.245640812859264,0.0,-0.06,-12.076826529576339,0.0,130.0,0.4
9,-4504.618540235018,-3613.991350202387,0.9981,1458,474,19.02386285602438,12,40.97613714397567,0.7534865476376296,-0.12,-0.0,0.0,400.0,0.5
10,1489.7232371117668,-3486.7657499434035,0.99791,1458,51,3.623734121351551,6,56.37626587864844,5.961913135187265,-0.06,-0.0,0.0,200.0,1.0
11,-2951.82304019971,-3316.0744138093373,0.99772,1458,376,17.096635129783625,12,42.903364870216365,0.39331794549172683,-0.12,-0.0,0.0,380.0,0.2
12,-147.82510395791445,-3030.921104655228,0.99753,1458,41,3.6689084767204787,6,56.331091523279596,6.774782330360863,-0.06,-0.0,0.0,200.0,1.0
13,-4015.888816882882,-3107.101504298875,0.99734,1458,355,17.42857437177803,12,42.57142562822196,0.18950354356956356,-0.12,-0.0,0.0,400.0,1.0
14,-942.9981783921085,-3070.224656508097,0.99715,1458,34,3.541755410879787,6,56.4582445891201,6.371361317789443,-0.06,-0.0,0.0,200.0,1.0
15,-5485.828045447846,-2672.7697171926643,0.99696,1458,344,17.979406644957923,12,42.02059335504207,0.31047815791395705,-0.12,-0.0,0.0,400.0,1.0
16,-7027.442390002175,-3197.0314031783714,0.99677,1458,704,7.541709766085637,6,52.45829023391437,0.0,-0.06,-13.565389586678315,0.0,120.0,0.6000000000000001
17,-3355.0968487623004,-3164.6444683203526,0.99658,1458,315,17.262575887317126,12,42.737424112682895,0.2689304686012717,-0.12,-0.0,0.0,400.0,0.6000000000000001
18,-580.1028912613517,-2752.190061802954,0.99639,1458,30,3.5497587004294813,6,56.45024129957039,5.776193263094687,-0.06,-0.0,0.0,200.0,1.0
19,-8190.998105569023,-3120.828018336354,0.9962,1458,483,18.0060981610978,12,41.9939018389021,0.0,-0.12,-1.0789731938688218,0.0,400.0,1.0
20,-1948.9256973413228,-3464.692911781663,0.99601,1458,333,5.31800105567824,6,54.681998944321805,6.5435854088000545,-0.06,-0.0,0.0,200.0,1.0
21,-7059.619882413173,-3875.4725960030096,0.99582,1458,402,17.610657403199497,12,42.3893425968006,0.0,-0.12,-1.088518359430024,0.0,400.0,0.7000000000000001
22,-563.2434512753787,-3917.014430734756,0.99563,1458,40,3.7345943060033493,6,56.26540569399663,5.957986476738299,-0.06,-0.0,0.0,200.0,1.0
23,-8053.716506811421,-4320.797199727609,0.99544,1458,448,18.236871803503046,12,41.763128196496915,0.29927322059548955,-0.12,-0.0,0.0,400.0,0.8
24,155.32569788542773,-4210.964812099856,0.99525,1458,91,4.089890661209191,6,55.910109338790775,6.125357189084419,-0.06,-0.0,0.0,200.0,1.0
25,-3312.8983814782473,-3993.671845702897,0.9950600000000001,1458,338,16.449851045368735,12,43.55014895463133,2.9835652299323403,-0.12,-0.0,0.0,400.0,1.0
26,-1870.6552257950632,-3477.993129282185,0.99487,1458,459,5.894713595432888,6,54.105286404567174,6.466573735373005,-0.06,-0.0,0.0,190.0,0.6000000000000001
27,-5980.952991355476,-3740.5787435415027,0.99468,1458,372,17.285623319085058,12,42.71437668091501,4.417844385814355,-0.12,-0.0,0.0,400.0,1.0
28,-5210.23513507889,-4203.591967923256,0.99449,1458,528,6.494269950668764,6,53.50573004933127,0.0,-0.06,-0.7868001738331909,0.0,200.0,0.5
29,-6215.262653852999,-4006.0184227516547,0.9943,1458,371,17.46114256084346,12,42.53885743915652,2.360915701711569,-0.12,-0.0,0.0,400.0,1.0
