episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,dynamic_min_popularity
0,1811.068850735257,1811.068850735257,13000,0.020416402723640203,283,5.85353754798142,6,54.14646245201866,10.0,-0.06,-0.0,0.0,0.730383358001709,180.0,0.8
1,-9023.524321071372,-3606.2277351680577,14000,0.019366954220458865,871,22.541385298638453,12,37.45861470136169,0.0,-0.12,-15.515042435654482,0.0,0.6784263426065444,240.0,0.7000000000000001
2,1270.9057305932374,-1980.5165799142926,15000,0.01844437839463353,315,5.625693382963909,6,54.374306617036055,10.0,-0.06,-0.0,0.0,0.6565135517716407,150.0,0.9
3,-9540.121592020225,-3870.417832940776,16000,0.017640624195337296,866,26.30210951039425,12,33.69789048960569,0.0,-0.12,-17.688655100524073,0.0,0.6275613898038864,240.0,0.5
4,2238.6190091484605,-2648.610464522929,17000,0.016945304349064827,261,5.277717437923982,6,54.72228256207593,0.0,-0.06,-0.4734522745129155,0.0,0.6241036975383758,200.0,0.7000000000000001
5,-8528.185818124759,-3628.539690123234,18000,0.016320725437253714,832,23.70627477263445,12,36.293725227365414,0.0,-0.12,-3.7878446692694556,0.0,0.6003167980909347,320.0,0.2
6,1924.8062484767354,-2835.2045560375236,19000,0.015803068410605192,260,5.615362153061368,6,54.384637846938666,0.0,-0.06,-8.390882617913991,0.0,0.5749162729084492,150.0,0.6000000000000001
7,-6313.17959705941,-3269.951436165259,20000,0.015357984462752938,661,22.925353189288984,12,37.07464681071087,0.0,-0.12,-2.7943592801459527,0.0,0.5612317422032356,360.0,0.7000000000000001
8,241.749112467177,-2879.762486317211,21000,0.014976780163124204,364,5.8344222080342965,6,54.165577791965696,10.0,-0.06,-0.0,0.0,0.555592052936554,180.0,0.0
9,-7287.695940485885,-3320.555831734078,22000,0.014660675311461091,732,20.867808452237355,12,39.13219154776266,0.0,-0.12,-5.3645897583928726,0.0,0.5726810264587402,300.0,0.5
10,-5870.547838895755,-4088.7175006971797,23000,0.014409674797207117,668,8.113744042952423,6,51.886255957047545,0.0,-0.06,-15.154310373031056,0.0,0.5574262207746505,130.0,0.8
11,-9781.645727384286,-4164.529641328471,24000,0.014200221747159958,857,25.105982663800056,12,34.89401733619994,0.0,-0.12,-7.157861944798913,0.0,0.5433536931872368,300.0,0.9
12,-8348.764547874827,-5126.496669175278,25000,0.014041943708434701,780,9.260452098071262,6,50.739547901928745,0.0,-0.06,-14.137358406091284,0.0,0.5032240653038025,120.0,0.7000000000000001
13,-8234.159535872985,-4995.900463560554,26000,0.013920452911406755,787,22.927477926254877,12,37.07252207374516,0.0,-0.12,-3.402074886734554,0.0,0.555032307356596,320.0,0.7000000000000001
14,949.8282472543233,-5124.779539749968,27000,0.013833870179951191,333,6.016365933075201,6,53.98363406692488,10.0,-0.06,-0.0,0.0,0.5567460553348065,170.0,1.0
15,-7926.405770968205,-5064.601535034312,28000,0.013775841100141406,778,22.241572137839064,12,37.75842786216094,3.6304104885115636,-0.12,-0.0,0.0,0.5517651470005512,240.0,0.2
16,-6806.815772849057,-5937.763737166891,29000,0.01373988762497902,739,7.783407988086772,6,52.21659201191315,0.0,-0.06,-3.0690204442823577,0.0,0.5558574017882347,180.0,0.1
17,-9608.136851278188,-6267.25946258877,30000,0.013720742659643292,867,25.106937400293795,12,34.89306259970614,0.0,-0.12,-1.0544933063352424,0.0,0.5748855473846197,380.0,0.8
18,-5212.750944352759,-6812.709468270763,31000,0.01371207251213491,637,7.994547822974864,6,52.00545217702519,10.0,-0.06,-0.0,0.0,0.5482722783088684,130.0,0.4
19,-8873.200718029984,-6971.259946025171,32000,0.013706295983865857,833,23.897591612478845,12,36.10240838752122,0.0,-0.12,-2.692517569939592,0.0,0.5404963445663452,340.0,0.7000000000000001
20,1278.921725693717,-6256.312989566225,33000,0.01369833154603839,277,5.9504318780722265,6,54.049568121927734,10.0,-0.06,-0.0,0.0,0.5483342684805393,150.0,0.9
21,-9216.87048680833,-6199.83546550863,34000,0.013681430835276842,856,25.343656875148163,12,34.65634312485166,0.0,-0.12,-0.4393426205886275,0.0,0.5243201792240143,400.0,0.30000000000000004
22,2445.6748562397574,-5120.391525097171,35000,0.013649719767272472,250,5.560406832826884,6,54.43959316717312,10.0,-0.06,-0.0,0.0,0.5381724719703197,170.0,1.0
23,-9691.938669586516,-5266.169438468524,36000,0.013598891207948327,872,25.401756882498834,12,34.59824311750104,0.0,-0.12,-6.405190780450343,0.0,0.511048221886158,280.0,0.7000000000000001
24,523.0295363671746,-5308.849309557239,37000,0.013525609392672777,332,5.924168887885641,6,54.075831112114386,10.0,-0.06,-0.0,0.0,0.5044894543290138,120.0,0.0
25,-7800.865670974443,-5296.295299557863,38000,0.013423976488411427,755,21.249282145189696,12,38.75071785481041,0.0,-0.12,-8.451710452865058,0.0,0.49124981835484505,300.0,0.9
26,-2777.344912032787,-4893.348213476236,39000,0.01328851911239326,504,6.7257807228381,6,53.27421927716178,10.0,-0.06,-0.0,0.0,0.4822971849888563,140.0,0.9
27,-8016.568294995841,-4734.191357848001,40000,0.013119892682880163,810,22.966916357310293,12,37.033083642689704,10.0,-0.12,-0.0,0.0,0.4209757453203201,380.0,0.2
28,1953.738296867533,-4017.542433725972,41000,0.012911431258544326,271,5.719364777785275,6,54.280635222214826,10.0,-0.06,-0.0,0.0,0.4751099044829607,140.0,1.0
29,-9584.79496376682,-4088.7018582996548,42000,0.012670218013226986,857,24.600181619443273,12,35.39981838055672,0.0,-0.12,-4.259564052038862,0.0,0.4467386344075203,340.0,0.30000000000000004
