episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,dynamic_min_popularity
0,5586.61142239943,5586.61142239943,1000,0.06093749962747097,45,3.5573289241513626,6,56.44267107584869,7.672929957277644,-0.06,-0.0,0.0,0.0,200.0,1.0
1,713.6823461636408,3150.146884281535,2000,0.06008728966116905,285,15.834211950589253,9,44.16578804941078,4.958780678319946,-0.09,-0.0,0.0,1.7286137878894805,400.0,1.0
2,966.2979295993533,2422.197232720808,3000,0.05801564361900091,385,6.114407858490923,2,53.88559214150912,6.1546022308914194,-0.02,-0.0,0.0,1.153298206627369,200.0,0.2
3,-2615.604042682561,1162.7469138699657,4000,0.05632952507585287,571,18.610294224327067,4,41.38970577567299,1.2729971827998843,-0.04,-0.0,0.0,0.9653117522597313,360.0,0.30000000000000004
4,5548.8649999948275,2039.970531094938,5000,0.054970912635326385,49,3.5936102136881796,2,56.40638978631182,6.282378139880464,-0.02,-0.0,0.0,0.8164139406383037,200.0,1.0
5,1472.4074598650384,1945.3766858899546,6000,0.05386895127594471,200,13.74590346653604,5,46.25409653346397,3.41702913746462,-0.05,-0.0,0.0,0.6705228888988495,400.0,1.0
6,5883.101481941165,2507.908799611556,7000,0.052903274074196815,20,3.4866528319349017,2,56.51334716806512,6.286464952137885,-0.02,-0.0,0.0,0.6113122291862965,200.0,1.0
7,3268.1342099152926,2602.9369758995235,8000,0.05205166153609753,52,12.63411361383683,6,47.36588638616316,4.0739141544887065,-0.06,-0.0,0.0,0.5418945862352849,400.0,1.0
8,5861.383796605915,2964.986622644678,9000,0.051330347545444965,24,3.507509187140741,2,56.49249081285923,6.3342408603224545,-0.02,-0.0,0.0,0.5022838792204857,200.0,1.0
9,3262.957586141422,2994.7837189943525,10000,0.05067454557865858,50,12.54656285602436,6,47.45343714397568,4.474789924771235,-0.06,-0.0,0.0,0.4423808093369007,400.0,1.0
10,5844.469574308989,3020.5695341853084,11000,0.050092573277652264,23,3.4680341213515504,2,56.531965878648435,6.261913135187276,-0.02,-0.0,0.0,0.4438165698945522,200.0,1.0
11,3078.622453665463,3257.063544935491,12000,0.04955313354730606,50,12.621835129783614,6,47.378164870216345,1.550232304775253,-0.06,-0.0,0.0,0.40456833228468897,280.0,1.0
12,5810.014179248895,3741.4351699004446,13000,0.049069736152887344,26,3.488908476720477,2,56.5110915232796,6.3896890433723685,-0.02,-0.0,0.0,0.39609056830406186,200.0,1.0
13,3158.877444546948,4318.883318623395,14000,0.048631567507982254,56,12.672524371778028,6,47.327475628222174,4.513038383915778,-0.06,-0.0,0.0,0.3622849953174591,400.0,1.0
14,5659.680146636783,4329.96483328759,15000,0.04825824685394764,37,3.6128554108797872,2,56.38714458912011,6.371361317789443,-0.02,-0.0,0.0,0.3428728598356247,200.0,1.0
15,3251.684852313679,4507.892572532455,16000,0.047913383692502975,43,12.712606644957907,6,47.287393355042106,4.133411072375793,-0.06,-0.0,0.0,0.3390164682269096,400.0,1.0
16,6286.386503619626,4548.221074700302,17000,0.04762583412230015,11,3.4071097660856315,3,56.5928902339143,6.26751286944628,-0.03,-0.0,0.0,0.33015485376119613,190.0,1.0
17,3240.2594526943462,4545.433598978207,18000,0.0473669171333313,51,12.55197588731711,6,47.448024112682965,3.6942868426581486,-0.06,-0.0,0.0,0.29764878161251546,400.0,1.0
18,5808.127059735473,4540.107925291162,19000,0.04714267794042826,24,3.5196087004294814,2,56.48039129957041,5.91137842170107,-0.02,-0.0,0.0,0.3036453188955784,190.0,1.0
19,2990.3406869718315,4512.846235374203,20000,0.046956430189311504,69,13.034948161097825,6,46.96505183890209,4.144659531520337,-0.06,-0.0,0.0,0.2949083636701107,400.0,1.0
20,6300.05015826907,4558.404293770212,21000,0.04679534491151571,11,3.39515105567824,3,56.6048489443218,6.5435854088000545,-0.03,-0.0,0.0,0.2885525002330542,200.0,1.0
