name,queries,final_cumul_bw_cost,total_bw_cost,total_cpu_cost,total_replica_cost,total_cost,total_bw_inter_provider_gb,total_bw_inter_region_gb,total_sla_violations,final_replica_count
QLearning_Simple,1000,4.662979,2.70135,1.799629,0,4.500979,147.15,1202.85,150,6
Rainbow_Simple,1000,4.638679,2.67705,1.799629,0,4.476679,144.45,1205.55,147,6
QLearning_Complex,1000,15.875937,6.5385,9.013437,0,15.551937,336.15,2363.85,240,12
Rainbow_Complex,1000,15.038037,5.7006,9.013437,0,14.714037,273.15,2426.85,155,12
