episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action
0,5126.511986199468,5126.511986199468,0.99981,729,50,3.8543289241513605,6,56.145671075848725,7.771050970094255,-0.06,-0.0,0.0
1,5169.56293776761,5148.037461983538,0.99962,729,45,3.8571847466214044,6,56.14281525337861,7.770079401791515,-0.06,-0.0,0.0
2,5223.0801255517335,5173.0516831729365,0.99943,729,48,3.8707078584909205,6,56.129292141509076,7.764573170551766,-0.06,-0.0,0.0
3,5241.004518005163,5190.039891880993,0.99924,729,48,3.8420996809352075,6,56.15790031906483,7.76625678824356,-0.06,-0.0,0.0
4,5081.375216784732,5168.306956861741,0.99905,729,49,3.8730602136881815,6,56.12693978631183,7.771705934761377,-0.06,-0.0,0.0
