episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action
0,9216.656125987056,9216.656125987056,0.99981,243,,,,,,,,
1,9183.091255934178,9199.873690960616,0.99962,243,,,,,,,,
2,9153.221744361745,9184.323042094326,0.99943,243,,,,,,,,
3,9209.562910263374,9190.633009136587,0.99924,243,,,,,,,,
4,9223.572463085678,9197.220899926406,0.99905,243,,,,,,,,
5,9223.175423582741,9201.546653869127,0.99886,243,,,,,,,,
6,9142.495850245668,9193.110824780062,0.99867,243,,,,,,,,
7,9189.573041847832,9192.668601913534,0.99848,243,,,,,,,,
8,9216.988408848101,9195.370802684041,0.99829,243,,,,,,,,
9,9157.025410729593,9191.536263488597,0.9981,243,,,,,,,,
10,9199.690275061184,9189.83967839601,0.99791,243,,,,,,,,
11,9164.240023141523,9187.954555116743,0.99772,243,,,,,,,,
12,9170.241237575545,9189.656504438124,0.99753,243,,,,,,,,
13,9203.505474276899,9189.050760839475,0.99734,243,,,,,,,,
14,9196.687619805534,9186.362276511461,0.99715,243,,,,,,,,
15,9216.67554039703,9185.712288192892,0.99696,243,,,,,,,,
16,9222.988595501625,9193.761562718486,0.99677,243,,,,,,,,
17,9177.374808232456,9192.541739356948,0.99658,243,,,,,,,,
18,9229.881908404774,9193.831089312614,0.99639,243,,,,,,,,
19,9166.118007196093,9194.740348959265,0.9962,243,,,,,,,,
20,9197.415629166991,9194.512884369848,0.99601,243,,,,,,,,
21,9216.575528518413,9199.746434907536,0.99582,243,,,,,,,,
22,9167.341679422552,9199.456479092236,0.99563,243,,,,,,,,
23,9217.390511239444,9200.844982788492,0.99544,243,,,,,,,,
24,9149.627226839442,9196.138943491882,0.99525,243,,,,,,,,
25,9180.680379120025,9192.539427364183,0.9950600000000001,243,,,,,,,,
26,9193.0838403537,9189.54895184939,0.99487,243,,,,,,,,
27,9217.120195871403,9193.523490613286,0.99468,243,,,,,,,,
28,9222.67679997593,9192.802979770402,0.99449,243,,,,,,,,
29,9216.095923357516,9197.800771386543,0.9943,243,,,,,,,,
30,9223.491597912333,9200.408368261076,0.99411,243,,,,,,,,
31,9229.981189346736,9201.748934343908,0.99392,243,,,,,,,,
32,9229.394708426966,9207.95423724435,0.99373,243,,,,,,,,
33,9223.087180842893,9208.523904204692,0.99354,243,,,,,,,,
34,9196.757166243147,9213.236898145065,0.99335,243,,,,,,,,
35,9216.19656991797,9216.788517224859,0.99316,243,,,,,,,,
36,9193.907716861044,9216.870904875594,0.99297,243,,,,,,,,
37,9203.594737733776,9215.518359061829,0.99278,243,,,,,,,,
38,9223.152578548372,9215.565936919073,0.99259,243,,,,,,,,
39,9190.254807474908,9212.981825330815,0.9924,243,,,,,,,,
40,9169.439588048068,9207.576624344389,0.99221,243,,,,,,,,
41,9197.071287846955,9204.28563419441,0.99202,243,,,,,,,,
42,9223.326470575525,9203.678810409265,0.99183,243,,,,,,,,
43,9222.228831502889,9203.592975475265,0.99164,243,,,,,,,,
44,9216.261345891528,9205.543393440104,0.99145,243,,,,,,,,
45,9216.336880723857,9205.557424520692,0.99126,243,,,,,,,,
46,9229.77522450673,9209.144175285259,0.99107,243,,,,,,,,
47,9161.702281343545,9204.954929646237,0.99088,243,,,,,,,,
48,9203.841376572263,9203.023809448627,0.99069,243,,,,,,,,
49,9216.360674022899,9205.634396103425,0.9905,243,,,,,,,,
