episode,reward,avg10,epsilon,buffer,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss
0,9196.882417461764,9196.882417461764,0.999000499833375,1000,,,,,,,,,0.06348584913881496
1,9216.326147813637,9206.604282637702,0.9980019986673331,2000,,,,,,,,,0.3845777350338176
2,9197.394708452413,9203.534424575939,0.997004495503373,3000,,,,,,,,,0.9996703751554015
3,9223.40333788273,9208.501652902636,0.9960079893439915,4000,,,,,,,,,1.687031616717577
4,9209.586642214908,9208.718650765091,0.9950124791926823,5000,,,,,,,,,2.578270550216548
5,9216.332520099664,9209.98762898752,0.9940179640539353,6000,,,,,,,,,2.9506135039962826
6,9229.720066500842,9212.80654863228,0.9930244429332351,7000,,,,,,,,,3.794875667495653
7,9196.469308430425,9210.764393607049,0.9920319148370607,8000,,,,,,,,,4.947509452998638
8,9229.822897390108,9212.882005138501,0.9910403787728838,9000,,,,,,,,,5.995056775528938
9,9203.637573813132,9211.957562005964,0.9900498337491682,10000,,,,,,,,,6.080676318481564
10,9202.548668991603,9212.524187158946,0.9890602787753688,11000,,,,,,,,,7.417163316011429
11,9197.689473631874,9210.66051974077,0.9880717128619307,12000,,,,,,,,,6.436141172293573
12,9204.355762356718,9211.3566251312,0.9870841350202878,13000,,,,,,,,,8.546573607884348
13,9178.930835344734,9206.9093748774,0.9860975442628621,14000,,,,,,,,,9.266425163149833
14,9229.619289206217,9208.91263957653,0.9851119396030629,15000,,,,,,,,,10.501642614603043
15,9183.155984269673,9205.594985993534,0.9841273200552854,16000,,,,,,,,,8.573721480518579
16,9162.836049791378,9198.906584322587,0.9831436846349099,17000,,,,,,,,,9.048209986835719
17,9210.043076212278,9200.26396110077,0.982161032358301,18000,,,,,,,,,8.517082790955902
18,9157.68650338277,9193.05032170004,0.9811793622428063,19000,,,,,,,,,11.374883327484131
19,9215.749295830261,9194.261493901751,0.9801986733067557,20000,,,,,,,,,8.307708983421326
20,9230.16219250964,9197.022846253556,0.97921896456946,21000,,,,,,,,,10.55703408420086
21,9204.272614695157,9197.681160359884,0.9782402350512105,22000,,,,,,,,,9.645261657685042
22,9202.755086434654,9197.521092767678,0.9772624837732775,23000,,,,,,,,,11.27096778869629
23,9209.762209956674,9200.604230228872,0.9762857097579097,24000,,,,,,,,,12.453541367650033
24,9210.149548593761,9198.657256167626,0.9753099120283332,25000,,,,,,,,,8.673276687785982
25,9210.619615004587,9201.403619241117,0.9743350896087498,26000,,,,,,,,,10.513943301029503
26,9223.190428583886,9207.439057120366,0.9733612415243373,27000,,,,,,,,,11.180672441534698
27,9223.50547192782,9208.78529669192,0.9723883668012475,28000,,,,,,,,,12.85633028551936
28,9203.194836358103,9213.336129989455,0.9714164644666055,29000,,,,,,,,,10.406553533673286
29,9229.538097765997,9214.715010183028,0.9704455335485088,30000,,,,,,,,,12.501078928112983
30,9183.603933983355,9210.0591843304,0.9694755730760266,31000,,,,,,,,,12.807837119102478
31,9236.37877133868,9213.269799994752,0.9685065820791983,32000,,,,,,,,,9.059009678959846
32,9229.394708426966,9215.933762193983,0.9675385595890327,33000,,,,,,,,,10.141820907592773
33,9223.087180842893,9217.266259282605,0.9665715046375073,34000,,,,,,,,,11.549759538173676
34,9229.830137440767,9219.234318167306,0.9656054162575671,35000,,,,,,,,,13.548671289682389
35,9174.999311996666,9215.672287866513,0.9646402934831237,36000,,,,,,,,,11.950160061344505
36,9196.933184706151,9213.04656347874,0.9636761353490542,37000,,,,,,,,,11.908056277222931
37,9183.797885905165,9209.075804876475,0.9627129408912003,38000,,,,,,,,,11.782997208237648
38,9222.997775222233,9211.056098762889,0.9617507091463675,39000,,,,,,,,,11.954646254181862
39,9229.72079514861,9211.07436850115,0.9607894391523241,40000,,,,,,,,,12.416498391330242
40,9215.15040426183,9214.229015528996,0.9598291299477998,41000,,,,,,,,,13.033875569105149
41,9194.931742089117,9210.08431260404,0.9588697805724854,42000,,,,,,,,,12.237982083857059
42,9186.458839649637,9205.790725726307,0.9579113900670315,43000,,,,,,,,,11.621409640312194
43,9215.699001814948,9205.051907823514,0.9569539574730476,44000,,,,,,,,,10.495641080364585
44,9223.412272796482,9204.410121359086,0.9559974818331008,45000,,,,,,,,,10.817249896079302
45,9222.765497808545,9209.186739940273,0.9550419621907156,46000,,,,,,,,,11.756198097616434
46,9229.608149271055,9212.454236396761,0.9540873975903721,47000,,,,,,,,,10.53470027089119
47,9236.509119205355,9217.72535972678,0.9531337870775057,48000,,,,,,,,,10.804151091054083
48,9223.114350276057,9217.737017232164,0.9521811296985059,49000,,,,,,,,,11.95749560892582
49,9170.420380741709,9211.806975791475,0.951229424500715,50000,,,,,,,,,11.269849838763475
