episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss
0,3337.1968551205,3337.1968551205,1000,0.06935121864080429,168,4.658928924151369,6,55.34107107584873,6.792929957277918,-0.06,-0.0,0.0,0.0
1,3070.6076781418046,3203.902266631152,2000,0.06846949458122253,182,4.899834746621399,3,55.10016525337863,6.8715420025595275,-0.03,-0.0,0.0,2.1603147184848783
2,5656.377154128765,4021.3938957970227,3000,0.06620297767221928,90,4.13395785849092,2,55.866042141509055,6.774602230890685,-0.02,-0.0,0.0,1.3077856534719468
3,6281.38658463983,4586.392068007724,4000,0.0647497484460473,48,3.808349680935207,2,56.191650319064834,6.873214278005447,-0.02,-0.0,0.0,0.5450482867658138
4,6331.4109910018815,4935.395852606556,5000,0.06375571899116039,47,3.8123102136881806,2,56.18768978631183,6.882378139880132,-0.02,-0.0,0.0,0.42639660332351925
