episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action
0,9230.039006577383,9230.039006577383,0.99981,243,,,,,,,,
1,9209.852705902576,9219.94585623998,0.99962,243,,,,,,,,
2,9183.497955058685,9207.796555846215,0.99943,243,,,,,,,,
3,9161.98575793015,9196.343856367199,0.99924,243,,,,,,,,
4,9180.8179366361,9193.23867242098,0.99905,243,,,,,,,,
5,9203.336407165523,9194.921628211736,0.99886,243,,,,,,,,
6,9201.872502334225,9195.914610229234,0.99867,243,,,,,,,,
7,9207.23075492452,9197.329128316145,0.99848,243,,,,,,,,
8,9222.967327381095,9200.17781710114,0.99829,243,,,,,,,,
9,9236.482961252901,9203.808331516315,0.9981,243,,,,,,,,
10,9210.383653997469,9201.842796258325,0.99791,243,,,,,,,,
11,9203.977655012994,9201.255291169366,0.99772,243,,,,,,,,
12,9230.063268429501,9205.911822506449,0.99753,243,,,,,,,,
13,9196.352803385644,9209.348527051996,0.99734,243,,,,,,,,
14,9197.25964325596,9210.992697713984,0.99715,243,,,,,,,,
15,9189.586114987354,9209.617668496167,0.99696,243,,,,,,,,
16,9203.326544379568,9209.763072700702,0.99677,243,,,,,,,,
17,9206.623329588252,9209.702330167074,0.99658,243,,,,,,,,
18,9216.178990319158,9209.023496460879,0.99639,243,,,,,,,,
19,9223.173510846738,9207.692551420263,0.9962,243,,,,,,,,
20,9223.410385005853,9208.995224521103,0.99601,243,,,,,,,,
21,9130.532731824002,9201.650732202203,0.99582,243,,,,,,,,
22,9163.087073786728,9194.953112737927,0.99563,243,,,,,,,,
23,9209.610828288722,9196.278915228235,0.99544,243,,,,,,,,
24,9210.149548593761,9197.567905762015,0.99525,243,,,,,,,,
25,9230.201671211256,9201.629461384404,0.9950600000000001,243,,,,,,,,
26,9210.143289970558,9202.311135943502,0.99487,243,,,,,,,,
27,9229.809836290831,9204.629786613761,0.99468,243,,,,,,,,
28,9216.267897269217,9204.638677308769,0.99449,243,,,,,,,,
29,9223.138420492072,9204.6351682733,0.9943,243,,,,,,,,
30,9223.491597912333,9204.643289563948,0.99411,243,,,,,,,,
31,9217.065800795881,9213.296596461136,0.99392,243,,,,,,,,
32,9196.491041227584,9216.636993205222,0.99373,243,,,,,,,,
33,9194.120018118174,9215.087912188166,0.99354,243,,,,,,,,
34,9168.18762443105,9210.891719771897,0.99335,243,,,,,,,,
35,9155.474083102692,9203.41896096104,0.99316,243,,,,,,,,
36,9183.305486025329,9200.735180566517,0.99297,243,,,,,,,,
37,9145.717858533288,9192.325982790762,0.99278,243,,,,,,,,
38,9217.223620696563,9192.421555133496,0.99259,243,,,,,,,,
39,9216.459958552183,9191.753708939508,0.9924,243,,,,,,,,
40,9111.65500022863,9180.570049171136,0.99221,243,,,,,,,,
41,9156.20403795991,9174.483872887538,0.99202,243,,,,,,,,
42,9203.339912605348,9175.168760025315,0.99183,243,,,,,,,,
43,9196.36031287225,9175.392789500725,0.99164,243,,,,,,,,
44,9196.545429113707,9178.228569968987,0.99145,243,,,,,,,,
45,9216.445832311621,9184.325744889882,0.99126,243,,,,,,,,
46,9203.13687037595,9186.308883324946,0.99107,243,,,,,,,,
47,9190.021324539524,9190.73922992557,0.99088,243,,,,,,,,
48,9236.216057862257,9192.638473642137,0.99069,243,,,,,,,,
49,9223.332721692539,9193.325749956173,0.9905,243,,,,,,,,
