episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,dynamic_min_popularity,replication_state
0,-454.99869424066895,-454.99869424066895,60,0.06935121864080429,49,0.6153975293078577,6,59.384602470692165,5.3201512935407,-0.06,-0.0,0.0,0.0,150.0,0.22499999999999992,AGGRESSIVE
1,-539.5577380815868,-497.27821616112783,120,0.06935121864080429,50,1.6821512129843756,12,58.317848787015606,3.225113956852419,-0.12,-0.0,0.0,0.0,300.0,0.22499999999999992,AGGRESSIVE
2,-456.3846000510504,-483.64701079110205,180,0.06935121864080429,43,0.5688127537180485,6,59.431187246281944,5.517476028683433,-0.06,-0.0,0.0,0.0,140.0,0.2099999999999999,AGGRESSIVE
3,-714.4398528690589,-541.3452213105912,240,0.06935121864080429,53,1.693093735164991,8,58.306906264835,1.7262350765833323,-0.08,-0.0,0.0,0.0,280.0,0.2099999999999999,AGGRESSIVE
