episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action
0,5567.907442440172,5567.907442440172,0.99981,729,6,3.3998289241513637,6,56.60017107584868,7.771050970094255,-0.06,-0.0,0.0
1,5555.340480734945,5561.623961587558,0.99962,729,1,3.3783847466214043,6,56.62161525337859,7.770079401791515,-0.06,-0.0,0.0
2,5476.181529826345,5533.143151000487,0.99943,729,3,3.384707858490926,6,56.61529214150906,7.764573170551766,-0.06,-0.0,0.0
3,5844.081675845042,5610.877782211625,0.99924,729,1,3.3704996809352106,6,56.6295003190648,7.76625678824356,-0.06,-0.0,0.0
4,5519.286797292849,5592.559585227869,0.99905,729,2,3.3744602136881796,6,56.62553978631183,7.771705934761377,-0.06,-0.0,0.0
