episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,dynamic_min_popularity,replication_state
0,2468.5928001718835,2468.5928001718835,1000,0.06093749962747097,182,4.901928924151366,6,55.09807107584876,6.792929957277918,-0.06,-0.0,0.0,0.0,200.0,1.0,BALANCED
1,1213.4282104073923,1841.0105052896379,2000,0.06003006547689438,201,15.927811950589254,12,44.072188049410755,5.85878067831998,-0.12,-0.0,0.0,1.5654878318309784,400.0,1.0,BALANCED
2,297.13651346194996,1326.3858413470753,3000,0.057849510572850704,455,6.00100785849092,2,53.99899214150912,6.090426946534164,-0.02,-0.0,0.0,1.0929036802053451,165.0,0.8249999999999998,BALANCED
3,666.5153343935259,1161.418214608688,4000,0.056142239831388,193,18.278194224327056,4,41.72180577567294,3.6056974645193343,-0.04,-0.0,0.0,0.8151758655905723,400.0,1.0,BALANCED
4,2430.9367406686524,1415.321919820681,5000,0.05489121004939079,156,4.581810213688176,2,55.41818978631185,6.310506674414357,-0.02,-0.0,0.0,0.6931707689166069,169.0,0.8449999999999999,BALANCED
5,1471.3988180365252,1424.6680695233217,6000,0.05381680652499199,193,18.274703466536018,4,41.72529653346394,3.86531475980025,-0.04,-0.0,0.0,0.6550703108310699,400.0,1.0,BALANCED
6,3868.6384437210095,1773.8066944087057,7000,0.05288240034133196,160,4.608502831934904,2,55.39149716806508,6.331173355072477,-0.02,-0.0,0.0,0.5820113652944565,173.0,0.8649999999999999,BALANCED
7,3534.735929617346,1993.9228488097856,8000,0.0521648908033967,193,15.753963613836834,5,44.246036386163176,5.583914154489095,-0.05,-0.0,0.0,0.5421030128002167,400.0,1.0,BALANCED
8,4194.748163708847,2238.458994909681,9000,0.05154371075332165,164,4.650059187140745,3,55.34994081285921,6.513266508838608,-0.03,-0.0,0.0,0.4851883599162102,177.0,0.8849999999999999,BALANCED
9,3526.6097367727516,2367.274069095988,10000,0.050984627567231655,193,15.780712856024383,5,44.21928714397575,5.864789924771193,-0.05,-0.0,0.0,0.4317782084643841,400.0,1.0,BALANCED
10,4356.960930898383,2556.1108821686385,11000,0.050475846976041794,168,4.674934121351553,2,55.32506587864844,6.532500701864024,-0.02,-0.0,0.0,0.4132298247516155,181.0,0.9049999999999999,BALANCED
