episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,dynamic_min_popularity
0,1162.1899769425925,1162.1899769425925,1000,0.06093749962747097,148,4.5495789241513656,6,55.45042107584875,6.152929957278344,-0.06,-0.0,0.0,0.0,200.0,1.0
1,-5486.234055840106,-2162.0220394487565,2000,0.06004049815237522,734,18.38841195058924,12,41.611588049410805,0.0,-0.12,-5.782906552114717,0.0,1.9240861487388612,300.0,0.5
2,-1452.1914659710799,-1925.411848289531,3000,0.05787024274468422,378,5.19640785849092,5,54.803592141509114,5.593361696604902,-0.05,-0.0,0.0,1.3892313700914383,190.0,0.6000000000000001
3,-5603.105676144659,-2844.835305253313,4000,0.05589374713599682,567,17.683744224327075,10,42.31625577567294,0.0,-0.1,-4.025994640150805,0.0,0.8499723580479622,340.0,0.9
4,260.750549558167,-2223.718134291017,5000,0.05463750101625919,113,4.15836021368818,6,55.84163978631183,6.282378139880464,-0.06,-0.0,0.0,0.49445180788636206,200.0,1.0
5,-5844.009902583116,-2827.1000956730336,6000,0.05356214288622141,861,23.085203466536036,8,36.91479653346406,0.0,-0.08,-2.9877557490569018,0.0,0.5478849386423826,380.0,0.30000000000000004
6,1259.099436661997,-2243.357305339458,7000,0.05252242926508188,196,4.954552831934904,6,55.045447168065074,6.16833124319699,-0.06,-0.0,0.0,0.46840138271451,200.0,1.0
7,-1873.3553034184188,-2197.1070550993277,8000,0.05155046656727791,500,17.92116361383683,10,42.07883638616326,1.7737100164782582,-0.1,-0.0,0.0,0.4661989513039589,380.0,0.8
8,1793.922788332322,-1753.6592947180334,9000,0.05061351228505373,159,4.477259187140739,6,55.52274081285921,6.3342408603224545,-0.06,-0.0,0.0,0.4065349750220776,200.0,1.0
9,-4287.41736812853,-2007.035102059083,10000,0.0497938422486186,728,20.361262856024393,7,39.63873714397572,2.129167821226663,-0.07,-0.0,0.0,0.4450951212644577,380.0,1.0
10,3358.198153992394,-1787.434284354103,11000,0.04900775104761124,87,3.9193841213515546,6,56.08061587864845,5.961913135187265,-0.06,-0.0,0.0,0.4084994459152222,200.0,1.0
11,-2571.373302200965,-1495.948208990189,12000,0.048274531960487366,588,19.029835129783624,7,40.97016487021641,0.0,-0.07,-0.49269590356618487,0.0,0.4362693250179291,400.0,0.7000000000000001
12,2235.7199542469557,-1127.1570669683854,13000,0.0475859921425581,148,4.474858476720478,6,55.525141523279565,6.774782330360863,-0.06,-0.0,0.0,0.40677481681108474,200.0,1.0
13,-1354.3202470832769,-702.278524062247,14000,0.04693446587771177,399,18.090074371778055,10,41.909925628221984,0.3651977827174502,-0.1,-0.0,0.0,0.37211527362465857,400.0,0.5
14,1535.295501327831,-574.8240288852807,15000,0.046325827948749065,123,4.351755410879785,6,55.648244589120154,5.464201647236805,-0.06,-0.0,0.0,0.3873315680027008,160.0,1.0
15,-2874.102064928532,-277.83324511982227,16000,0.04573608562350273,589,21.007456644957937,8,38.99254335504201,4.1582103848106655,-0.08,-0.0,0.0,0.381128618568182,400.0,1.0
16,2603.935855029709,-143.3496032830511,17000,0.0451784934848547,88,3.9795097660856342,6,56.02049023391431,6.136771461793944,-0.06,-0.0,0.0,0.3779730798304081,200.0,1.0
17,-2663.1842721790294,-222.33250015911216,18000,0.0446598744019866,628,19.92162588731711,7,40.07837411268289,0.0,-0.07,-1.319054278879559,0.0,0.39086160972714423,400.0,1.0
18,1806.6411576422072,-221.06066322812367,19000,0.04418258275836706,96,4.153208700429476,6,55.84679129957039,5.776193263094687,-0.06,-0.0,0.0,0.3616827038675547,200.0,1.0
19,-3048.4685996163557,-97.16578637690623,20000,0.04370702803134918,639,21.26814816109782,7,38.73185183890218,0.0,-0.07,-1.0789731938688218,0.0,0.366140777990222,400.0,1.0
20,3406.8289708580005,-92.30270469034558,21000,0.043262618593871593,98,4.12550105567824,6,55.87449894432177,5.943585408800387,-0.06,-0.0,0.0,0.3437398836016655,200.0,1.0
21,-3348.8440600141475,-170.04978047166384,22000,0.042818338610231876,609,21.250707403199527,9,38.74929259680047,0.0,-0.09,-2.6885183594291373,0.0,0.33619802206754684,400.0,1.0
22,1803.2770956818356,-213.2940663281758,23000,0.04241511598229408,139,4.572944306003347,6,55.42705569399665,5.957986476738299,-0.06,-0.0,0.0,0.3290883605182171,200.0,1.0
23,-2579.5540795370366,-335.81744957355187,24000,0.042023454792797565,411,19.67732180350304,12,40.32267819649695,0.3774264118172621,-0.12,-0.0,0.0,0.3488090801239014,400.0,0.7000000000000001
24,1529.0907006031155,-336.43792964602335,25000,0.041636579670012,160,4.656890661209193,6,55.34310933879077,6.125357189084419,-0.06,-0.0,0.0,0.3268383178114891,200.0,1.0
25,-2218.421399605831,-270.8698631137533,26000,0.041249774396419525,678,19.92835104536874,9,40.07164895463133,0.0,-0.09,-0.4251364873013186,0.0,0.3062642893195152,400.0,0.4
26,3527.542532773788,-178.50919533934544,27000,0.04091075621545315,118,4.044313595432879,6,55.95568640456721,6.07329132842751,-0.06,-0.0,0.0,0.30003939852118494,200.0,1.0
27,-3185.8603318922083,-230.77680131066327,28000,0.04058073181658983,550,20.893723319085044,9,39.1062766809151,0.9479660546917656,-0.09,-0.0,0.0,0.33067008525133135,400.0,0.30000000000000004
28,2493.496625697775,-162.09125450510646,29000,0.04025440849363804,164,4.722169950668762,6,55.2778300493312,6.129589662136676,-0.06,-0.0,0.0,0.2906321769952774,200.0,1.0
29,-2668.6727169041087,-124.11166623388176,30000,0.03993610059842467,668,22.354892560843474,8,37.64510743915657,0.0,-0.08,-7.433112738540841,0.0,0.31367603942751887,320.0,0.9
30,3696.623373918577,-95.13222592782408,31000,0.039638043381273746,143,4.591848884965413,6,55.40815111503467,6.122503621275877,-0.06,-0.0,0.0,0.2927976340055466,200.0,1.0
31,-3589.35531040331,-119.18335096674036,32000,0.03934928635135293,638,22.1570148350533,9,37.842985164946725,2.8632966563133944,-0.09,-0.0,0.0,0.2915671440213919,400.0,1.0
32,3151.249509669218,15.613890431997834,33000,0.039067347068339586,193,4.7886012402141604,6,55.21139875978584,6.269874335454178,-0.06,-0.0,0.0,0.2688028600811958,200.0,1.0
33,-1703.2022799496021,103.24907039074128,34000,0.03878812678158283,504,19.85465407659713,8,40.145345923402886,0.17377398779506725,-0.08,-0.0,0.0,0.26700903475284576,400.0,1.0
34,3626.0324785410885,312.9432481845386,35000,0.038525719195604324,140,4.329384174424975,6,55.67061582557505,6.192762193946573,-0.06,-0.0,0.0,0.27884463980793955,200.0,1.0
35,-3461.726274335799,188.61276071154185,36000,0.03827685583382845,658,19.58999635007738,11,40.41000364992253,0.2366866284760638,-0.11,-0.0,0.0,0.2725755832344294,400.0,0.8
36,3818.2926090350975,217.68776833767274,37000,0.038032098207622766,148,4.4089925297896055,6,55.59100747021039,6.308831009956849,-0.06,-0.0,0.0,0.2586973595619202,200.0,1.0
37,-2768.3337466888374,259.4404268580098,38000,0.03779600095003843,443,19.534305592372185,11,40.465694407627765,0.0,-0.11,-1.9485233317867712,0.0,0.26874531790614126,360.0,0.9
38,2935.58534892747,303.6492991809793,39000,0.03756561642512679,217,4.936391147929041,6,55.063608852071,5.957296631842073,-0.06,-0.0,0.0,0.26306242890655995,200.0,1.0
39,-2752.828206442785,295.2337502271117,40000,0.03734773164615035,441,20.647945740295327,11,39.35205425970465,0.0,-0.11,-1.0566624864897012,0.0,0.26034348547458647,360.0,1.0
40,3925.5263485535893,318.12404769061294,41000,0.03713498776778579,158,4.904615503182086,6,55.09538449681793,6.3663228975954365,-0.06,-0.0,0.0,0.2436703610420227,200.0,1.0
41,-3574.0636714391994,319.653211587024,42000,0.036923307459801435,668,22.371104981839096,9,37.62889501816094,0.0,-0.09,-2.2673319597567554,0.0,0.252111092582345,400.0,1.0
42,4126.331077102553,417.16136833035745,43000,0.03672393457964063,146,4.65018443738431,6,55.34981556261566,6.3432107579206765,-0.06,-0.0,0.0,0.22813878051936626,200.0,1.0
43,-1076.578949397051,479.82370138561254,44000,0.03653286024928093,410,19.90324725577,10,40.09675274423,2.2355740353814593,-0.1,-0.0,0.0,0.2509941676259041,360.0,0.9
