episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss,dynamic_tsla,dynamic_min_popularity
0,-3861.3132616646394,-3861.3132616646394,1000,0.046875,491,6.590778924151362,6,53.40922107584873,6.287294691871903,-0.06,-0.0,0.0,0.0,190.0,1.0
1,-8393.54858803659,-6127.430924850615,2000,0.044022426940500736,795,23.66421195058927,12,36.33578804941069,0.0,-0.12,-6.929138032942657,0.0,1.851426118016243,300.0,1.0
2,-8733.31722362431,-6996.059691108513,3000,0.040784487035125494,826,9.327857858490935,6,50.67214214150919,6.453693611774587,-0.06,-0.0,0.0,1.4850262999534607,200.0,0.9
3,-12656.182385445132,-8411.090364692667,4000,0.039344912860542536,797,22.78989422432707,12,37.21010577567292,0.0,-0.12,-5.33227201485472,0.0,1.1448642086982728,360.0,1.0
4,-6618.092531697173,-8052.490798093568,5000,0.03806864004582167,658,7.8438602136881785,6,52.15613978631182,0.0,-0.06,-4.511070800931374,0.0,0.9943120485544205,170.0,1.0
5,-9717.281241692655,-8329.955872026749,6000,0.036868249997496605,858,24.72455346653605,12,35.27544653346399,0.0,-0.12,-1.0383679616030816,0.0,0.9108718132972717,400.0,0.9
6,-5641.649383980064,-7945.912088020079,7000,0.03576110769063234,607,7.6397028319348985,6,52.36029716806515,0.0,-0.06,-6.311035240984468,0.0,0.8290717679262162,160.0,0.4
7,-9039.44450861127,-8082.603640593979,8000,0.03477019444108009,772,22.860363613836853,12,37.13963638616324,0.5925435219213604,-0.12,-0.0,0.0,0.7957870754599571,320.0,0.0
8,-5988.917208424645,-7849.971814797386,9000,0.03388169268146157,457,6.28085918714075,6,53.719140812859244,0.0,-0.06,-6.76242155528092,0.0,0.7228660234808921,160.0,0.30000000000000004
9,-11035.720934071645,-8168.546726724812,10000,0.033074107486754656,715,21.753112856024334,12,38.2468871439757,2.026716976665682,-0.12,-0.0,0.0,0.6542221942543983,340.0,0.9
10,-8808.695820779372,-8663.284982636285,11000,0.032346627209335566,681,7.573834121351547,6,52.42616587864848,3.7875586695188677,-0.06,-0.0,0.0,0.6754573220014572,130.0,0.5
11,-9557.179771834393,-8779.648101016066,12000,0.03167547378689051,812,23.46728512978366,12,36.532714870216445,2.367778433215192,-0.12,-0.0,0.0,0.6752411529421807,380.0,0.8
12,-6729.8948300964,-8579.305861663273,13000,0.03105240035802126,635,7.52045847672048,6,52.47954152327953,0.0,-0.06,-0.6752434327733869,0.0,0.6308621537685394,180.0,0.8
13,-9771.8731732674,-8290.874940445503,14000,0.030482813715934753,798,22.820024371778032,12,37.17997562822193,0.5395035435698137,-0.12,-0.0,0.0,0.6304328960180282,400.0,1.0
14,-6164.447104231811,-8245.510397698967,15000,0.029972420539706945,577,7.300155410879794,6,52.69984458912015,0.0,-0.06,-4.005489834046854,0.0,0.585708684027195,160.0,0.7000000000000001
15,-10723.39616139877,-8346.121889669575,16000,0.029517251066863537,846,24.40900664495791,12,35.59099335504207,0.0,-0.12,-6.8804250579537385,0.0,0.5674813452363014,260.0,0.6000000000000001
16,-6354.970029509443,-8417.453954222514,17000,0.029100635554641485,542,6.723159766085623,6,53.27684023391433,0.0,-0.06,-5.762397670079102,0.0,0.5745610731840134,150.0,0.0
17,-10051.984410376908,-8518.707944399079,18000,0.028737044893205166,847,24.800075887317142,12,35.199924112682844,0.0,-0.12,-2.3026738284935444,0.0,0.5604693214595318,320.0,1.0
18,-6945.682399457864,-8614.3844635024,19000,0.02841818705201149,675,7.568258700429485,6,52.43174129957046,5.1202415788692015,-0.06,-0.0,0.0,0.5500527057051658,160.0,0.4
19,-10843.391561964865,-8595.151526291722,20000,0.02813863568007946,823,23.631098161097828,12,36.368901838902225,0.0,-0.12,-15.131621989781369,0.0,0.5345437371730805,240.0,0.5
20,-6089.424493964177,-8323.224393610204,21000,0.027898669242858887,522,6.77195105567825,6,53.22804894432184,6.361668851368853,-0.06,-0.0,0.0,0.537403208464384,190.0,0.30000000000000004
21,-10589.645850043387,-8426.471001431104,22000,0.02769943978637457,845,24.62840740319951,12,35.371592596800426,0.0,-0.12,-12.384691145904338,0.0,0.5062993150949479,300.0,0.6000000000000001
22,-6020.121763965168,-8355.493694817978,23000,0.0275343949906528,493,6.870194306003351,6,53.12980569399665,4.225694966768998,-0.06,-0.0,0.0,0.5105365332961083,140.0,0.1
23,-9386.947111968786,-8317.001088688117,24000,0.02740057883784175,709,23.16617180350304,12,36.833828196496874,0.7274264118175122,-0.12,-0.0,0.0,0.5086307191848755,400.0,0.2
24,-6273.432265975985,-8327.899604862534,25000,0.027295316569507122,613,7.653890661209194,6,52.34610933879083,3.542261981807365,-0.06,-0.0,0.0,0.48666262462735177,120.0,0.7000000000000001
25,-10470.840983488915,-8302.644087071549,26000,0.02721565356478095,794,22.85785104536874,12,37.142148954631395,3.764939970342666,-0.12,-0.0,0.0,0.47770031228661536,340.0,0.9
26,-6428.438653286262,-8309.990949449231,27000,0.027157398406416178,629,6.921163595432879,6,53.07883640456716,0.0,-0.06,-3.599990744744548,0.0,0.516183350533247,170.0,0.2
27,-10211.102591047429,-8325.902767516283,28000,0.027117923367768526,852,24.51487331908506,12,35.48512668091494,0.0,-0.12,-11.007556747677413,0.0,0.47090416520833966,240.0,1.0
