episode,reward,avg10,buffer,avg_noisy_sigma,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,avg_loss
0,3442.5259134185085,3442.5259134185085,1000,0.06935121864080429,49,3.8367789241513606,6,56.163221075848725,6.792929957277918,-0.06,-0.0,0.0,0.0
1,3231.091051767552,3336.80848259303,2000,0.06862770207226276,46,3.8400847466214048,6,56.159915253378614,6.8715420025595275,-0.06,-0.0,0.0,1.9349973285198212
2,3044.338060389561,3239.318341858541,3000,0.06616528332233429,188,4.818407858490915,2,55.18159214150909,6.774602230890685,-0.02,-0.0,0.0,1.7596259772777558
3,6299.684566828119,4004.4098981009356,4000,0.06417781580239534,48,3.8128496809352073,3,56.187150319064834,6.873214278005447,-0.03,-0.0,0.0,0.643148846924305
4,6363.948337234088,4476.317585927566,5000,0.0632167924195528,47,3.8168102136881807,3,56.18318978631183,6.882378139880132,-0.03,-0.0,0.0,0.26859221927821636
5,6356.983550141058,4789.761913296482,6000,0.06245142687112093,51,3.8146260360766795,3,56.18537396392332,6.975990185385616,-0.03,-0.0,0.0,0.253818870857358
6,6392.161285840984,5018.676109374268,7000,0.06179785169661045,48,3.8066028319348986,2,56.1933971680651,6.826464952137692,-0.02,-0.0,0.0,0.2757309084013104
7,6347.902766827339,5184.829441555901,8000,0.06123926676809788,50,3.81784665422898,3,56.18215334577089,6.85107699764282,-0.03,-0.0,0.0,0.2521830683760345
8,6374.3438060678345,5316.997704279449,9000,0.060751174576580524,48,3.8112591871407395,2,56.188740812859216,6.914240860322169,-0.02,-0.0,0.0,0.24486376609653235
9,6375.582830186588,5422.856216870163,10000,0.06032080203294754,47,3.8128190095378165,2,56.1871809904622,7.027852905827604,-0.02,-0.0,0.0,0.2445277388766408
10,6355.576684834653,5714.1612940117775,11000,0.05995880160480738,50,3.8082341213515516,2,56.191765878648425,6.861913135186942,-0.02,-0.0,0.0,0.22368499903008343
11,6377.25884410836,6028.778073245858,12000,0.0596571946516633,49,3.808353943813006,2,56.191646056187146,6.940525180468908,-0.02,-0.0,0.0,0.21981457388028502
12,6380.607153045719,6362.404982511474,13000,0.059405336156487465,44,3.8088584767204794,2,56.19114152327957,6.949689043371774,-0.02,-0.0,0.0,0.2408525888249278
13,6369.676708216706,6369.404196650334,14000,0.059203244745731354,41,3.806098299044596,2,56.19390170095546,6.763301088653682,-0.02,-0.0,0.0,0.2354643284343183
14,6347.220862083518,6367.731449135275,15000,0.059027643874287605,48,3.8113054108797857,2,56.18869458912012,6.951361317789512,-0.02,-0.0,0.0,0.22502433095127344
15,6344.32020000148,6366.465114121317,16000,0.05890457984060049,49,3.8114252332640004,2,56.188574766736096,6.764973363294583,-0.02,-0.0,0.0,0.2123003383539617
16,6364.834883325683,6363.732473869788,17000,0.05881289578974247,49,3.8076097660856307,2,56.192390233914296,6.774137225974286,-0.02,-0.0,0.0,0.24347754035145044
17,6368.876250498969,6365.82982223695,18000,0.058751133270561695,47,3.8152175884784167,2,56.184782411521496,6.852749271479414,-0.02,-0.0,0.0,0.23407341100275517
18,6374.58213220328,6365.853654850496,19000,0.05871298536658287,49,3.8112087004294795,2,56.18879129957041,6.755809500615236,-0.02,-0.0,0.0,0.21726419212296605
19,6367.470347676938,6365.04240659953,20000,0.05869325064122677,48,3.809888522740728,2,56.19011147725924,6.854421546120671,-0.02,-0.0,0.0,0.21902518346905708
20,6377.7316095953165,6367.2578990755965,21000,0.05868371110409498,53,3.80780105567824,2,56.1921989443218,6.843585408800066,-0.02,-0.0,0.0,0.23252530731260776
21,6355.994041870474,6365.131418851807,22000,0.05867748614400625,57,3.8090728780538585,2,56.19092712194609,6.942197454305502,-0.02,-0.0,0.0,0.2583799409121275
22,6389.441439068687,6366.014847454105,23000,0.058667595498263836,49,3.8137943060033495,2,56.186205693996634,6.848843145601503,-0.02,-0.0,0.0,0.26519847817718983
23,6395.6631155749055,6368.613488189925,24000,0.05864783376455307,42,3.8093061283103085,2,56.19069387168977,6.942455191106987,-0.02,-0.0,0.0,0.24872901603579523
24,6383.0325497538,6372.194656956954,25000,0.058611092157661915,45,3.812690661209191,2,56.18730933879083,7.005619054814513,-0.02,-0.0,0.0,0.24783788476139307
25,6406.511545336159,6378.413791490421,26000,0.05854958388954401,43,3.8125224835376064,2,56.187477516462366,6.8042311000964215,-0.02,-0.0,0.0,0.2543509318679571
26,6390.589591619557,6380.989262319808,27000,0.05845616478472948,44,3.815713595432877,2,56.18428640456718,6.953291328427591,-0.02,-0.0,0.0,0.21165772499516605
27,6382.974749896999,6382.399112259611,28000,0.058326988480985165,51,3.8115134178557115,2,56.18848658214415,6.7519033741561785,-0.02,-0.0,0.0,0.23520503155887126
28,6388.636523474166,6383.804551386701,29000,0.05817281827330589,47,3.813169950668767,2,56.186830049331206,6.741067237416718,-0.02,-0.0,0.0,0.23843349367380143
29,6399.442816721808,6387.001798291187,30000,0.05797322187572718,45,3.8078177731259206,2,56.19218222687413,6.8396792831456725,-0.02,-0.0,0.0,0.23007687009871006
