episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action,dynamic_tsla,dynamic_min_popularity,replication_state
0,4573.291047544129,4573.291047544129,0.99981,1458,53,3.852978924151361,6,56.14702107584871,6.792929957277918,-0.06,-0.0,0.0,200.0,0.3,BALANCED
1,3426.4758916938385,3999.8834696189833,0.99962,1458,67,13.338061950589251,12,46.66193804941072,5.85878067831998,-0.12,-0.0,0.0,400.0,0.3,BALANCED
2,4472.393365675789,4157.3867683045855,0.99943,1458,49,3.84010785849092,6,56.15989214150907,6.774602230890685,-0.06,-0.0,0.0,200.0,0.3,BALANCED
3,3324.2759323775067,3949.1090593228155,0.99924,1458,67,13.336744224327035,12,46.66325577567303,5.689153366779861,-0.12,-0.0,0.0,400.0,0.3,BALANCED
4,4649.999710664434,4089.287189591139,0.99905,1458,47,3.830310213688181,6,56.16968978631183,6.882378139880132,-0.06,-0.0,0.0,200.0,0.3,BALANCED
5,3295.192182113995,3956.9380216782815,0.99886,1458,65,13.28510346653604,12,46.714896533463985,5.397029137464978,-0.12,-0.0,0.0,400.0,0.3,BALANCED
6,4583.303454547523,4046.4187978024593,0.99867,1458,52,3.8448528319348982,6,56.15514716806509,6.826464952137692,-0.06,-0.0,0.0,200.0,0.3,BALANCED
7,3351.521064344945,3959.55658112027,0.99848,1458,65,13.29966361383683,12,46.70033638616317,5.583914154489095,-0.12,-0.0,0.0,400.0,0.3,BALANCED
8,4568.177191341705,4027.1810933670963,0.99829,1458,49,3.8373591871407386,6,56.162640812859216,6.914240860322169,-0.06,-0.0,0.0,200.0,0.3,BALANCED
9,3288.915456795282,3953.3545297099145,0.9981,1458,68,13.422712856024368,12,46.577287143975745,5.864789924771193,-0.12,-0.0,0.0,400.0,0.3,BALANCED
10,4510.751709608851,3947.1005959163863,0.99791,1458,50,3.826234121351552,6,56.173765878648425,6.861913135186942,-0.06,-0.0,0.0,200.0,0.3,BALANCED
11,3309.546857355788,3935.407692482582,0.99772,1458,64,13.308085129783613,12,46.69191487021634,5.5851626133427335,-0.12,-0.0,0.0,400.0,0.3,BALANCED
12,4602.96507861426,3948.4648637764285,0.99753,1458,45,3.8309084767204795,6,56.16909152327957,6.949689043371774,-0.06,-0.0,0.0,200.0,0.3,BALANCED
13,3370.152702606909,3953.052540799369,0.99734,1458,68,13.340324371778031,12,46.65967562822211,5.893038383916116,-0.12,-0.0,0.0,400.0,0.3,BALANCED
14,4565.107973199698,3944.563367052896,0.99715,1458,48,3.8293054108797855,6,56.17069458912012,6.951361317789512,-0.06,-0.0,0.0,200.0,0.3,BALANCED
15,3337.910623659916,3948.8352112074876,0.99696,1458,68,13.347106644957906,12,46.65289335504211,5.62341107237552,-0.12,-0.0,0.0,400.0,0.3,BALANCED
16,4589.633672729209,3949.468233025656,0.99677,1458,49,3.8256097660856314,6,56.174390233914295,6.774137225974286,-0.06,-0.0,0.0,200.0,0.3,BALANCED
17,3277.7306888514613,3942.089195476308,0.99658,1458,67,13.317875887317111,12,46.682124112682935,5.304286842658305,-0.12,-0.0,0.0,400.0,0.3,BALANCED
18,4551.987339307818,3940.4702102729193,0.99639,1458,49,3.8292087004294793,6,56.17079129957041,6.755809500615236,-0.06,-0.0,0.0,200.0,0.3,BALANCED
