episode,reward,avg10,epsilon,states_explored,sla_violations,cumulative_cost,replica_count,budget_remaining,reward_wait_time,reward_unutilization,reward_queue_penalty,reward_invalid_action
0,5511.556052593138,5511.556052593138,0.99981,729,4,3.3899289241513637,6,56.61007107584869,7.771050970094255,-0.06,-0.0,0.0
1,5620.155945445148,5565.8559990191425,0.99962,729,1,3.3909847466214043,6,56.60901525337859,7.770079401791515,-0.06,-0.0,0.0
2,5612.1421136180215,5581.284703885435,0.99943,729,5,3.4009078584909256,6,56.599092141509054,7.764573170551766,-0.06,-0.0,0.0
3,5480.007612793453,5555.96543111244,0.99924,729,0,3.3560996809352104,6,56.64390031906481,7.76625678824356,-0.06,-0.0,0.0
4,5503.6542095399345,5545.503186797939,0.99905,729,7,3.4077602136881797,6,56.59223978631183,7.771705934761377,-0.06,-0.0,0.0
